subj_id,n_trials,prop_valid,retained
608,1207,0.547638773819387,0
625,1225,0.764897959183673,1
609,1307,0.767406273909717,1
607,1277,0.787000783085356,1
501,1184,0.787162162162162,1
601,1298,0.835901386748844,1
603,1251,0.85691446842526,1
621,1333,0.85821455363841,1
624,1258,0.86248012718601,1
612,1283,0.869836321122369,1
626,1338,0.889387144992526,1
618,1286,0.890357698289269,1
610,865,0.905202312138728,1
630,1324,0.908610271903323,1
604,1292,0.912538699690402,1
615,1284,0.921339563862928,1
622,1340,0.924626865671642,1
631,1332,0.927927927927928,1
623,1336,0.932634730538922,1
606,1259,0.933280381254964,1
611,1220,0.94672131147541,1
614,977,0.951893551688843,1
613,596,0.961409395973154,1
627,1350,0.974074074074074,1
619,1349,0.977020014825797,1
628,1336,0.979790419161677,1
602,1319,0.99393479909022,1
629,1333,0.993998499624906,1
617,1320,0.996212121212121,1
