subj_id,ldi_comp,ldi_iso,ldi_nov,rt_lure_comp,rt_lure_iso,rt_lure_nov,gaze_bb_comp,gaze_bb_iso,gaze_ba_comp,gaze_ba_iso
618,0.65,0.6,0.3,0.777311812499943,0.841052187500054,0.782000604000132,0.0697338101084545,0.047528657334973,0.0340497697886489,-0.00902523525069363
619,0.5,0.473684210526316,0.4,0.827995895999265,0.884098437500143,0.95181245849999,-0.0139094421512221,-0.0510457656958738,-0.0599731891862026,-0.0242232316619624
621,0.6,0.5,0.35,0.892799917000957,0.950532041500264,1.0782572499993,0.0884887906272008,0.0301044026229253,0.0269124372633106,-0.00923925167652681
622,0.572222222222222,0.5,0.4,0.727822999997443,0.907435270499264,0.910650833498948,0.130185930430347,0.084741644666493,0.0579122731428026,0.0931182414544256
623,0.548684210526316,0.44469696969697,0.425,0.805167582999275,0.813291500002379,0.859408083000744,0.0991277455817769,0.102986541636002,0.079779333518794,0.0859728498160851
624,0.775,0.625,0.499358974358974,0.902293791994452,0.938652416498371,0.912377416003437,0.130885356480008,0.114910057508186,0.0578580014220345,0.159675350410426
625,0.4,0.25,0.3,1.04143699999986,1.03441247899536,0.913620875497145,0.049889997510869,-0.0184143864720874,0.00619607392005331,0.00180039763304677
626,0.625,0.625,0.5,0.783475250005722,0.88475300000573,0.806328812504944,0.104760479848101,0.0516570022435989,0.0725278002695074,0.101324584782405
627,0.45,0.425,0.4,0.854583104504854,0.924388083993108,0.937726625495998,0.0532448560414451,0.0781438018227711,0.0719585401219929,0.0572498387125368
628,0.575,0.45,0.504166666666667,0.855399708001642,0.849683917003858,0.909479084002669,0.16541698848637,0.104494908313535,0.0968711348778992,0.095816626742491
629,0.375,0.378723404255319,0.25,0.932940415999838,0.894924014000293,1.1465607705004,0.143884859354425,0.0460681023629997,0.124984304100448,0.0515131379938996
630,0.8,0.45,0.4,0.875981665998552,0.992470729000161,0.936896562498987,0.190051184348454,0.115566802693382,0.142773722577187,0.0791118261206876
631,0.65,0.625,0.55,0.790798895997796,0.820368582999436,0.859185207496921,0.131712904544683,0.0777921682132332,0.102238712107825,0.05834761011651
