eye,onset,offset,duration,start_x,start_y,end_x,end_y,trial_id,task,stim_id
L,2989630,2989670,41,941.1,491.8,927.2,426.2,1,1_back,mst_120_A_l1.png
L,2991188,2991215,28,929.7,455.7,940.2,535.3,2,1_back,mst_063_A_l1.png
L,2992067,2992090,24,940.5,512.7,955.6,584.9,2,1_back,mst_063_A_l1.png
L,2993511,2993531,21,937.8,589.9,926.7,545.2,3,1_back,mst_075_A_l1.png
L,2994605,2995040,436,949.9,565.6,961.6,528.7,3,1_back,mst_075_A_l1.png
L,2996277,2996293,17,958.4,531.3,957.7,496.2,4,1_back,mst_021_A_l1.png
L,2996750,2996766,17,972.3,522.7,970,495.8,4,1_back,mst_021_A_l1.png
L,2998024,2998029,6,965.3,501.7,961.1,511.5,5,1_back,mst_021_B_l1.png
L,2999124,2999159,36,977.1,544.2,1084.7,571,5,1_back,mst_021_B_l1.png
L,2999295,2999316,22,1100.4,575.8,1125.6,622.6,5,1_back,mst_021_B_l1.png
L,2999508,2999517,10,1124.1,607.9,1116.4,591.2,5,1_back,mst_021_B_l1.png
L,2999942,2999974,33,1111.3,574.8,951.8,542.4,5,1_back,mst_021_B_l1.png
L,3001245,3001259,15,950.5,544.4,957.1,505.8,6,1_back,mst_275_A_l2.png
L,3001553,3001566,14,970.2,508.7,978.6,483.7,6,1_back,mst_275_A_l2.png
L,3002909,3002922,14,984.3,467.9,947.1,482.4,7,1_back,mst_003_A_l1.png
L,3003195,3003202,8,948.7,502.7,958.1,514.6,7,1_back,mst_003_A_l1.png
L,3003692,3003827,136,959.1,516.4,979.6,458.1,7,1_back,mst_003_A_l1.png
L,3004014,3004026,13,1007.2,489.9,1034.9,483.6,7,1_back,mst_003_A_l1.png
L,3004956,3004965,10,991.1,484.2,976.7,502.9,8,1_back,mst_238_A_l2.png
L,3005872,3005892,21,960.2,529.4,962.7,573.4,8,1_back,mst_238_A_l2.png
L,3006129,3006148,20,965.6,573.9,957.5,622.5,8,1_back,mst_238_A_l2.png
L,3006533,3006562,30,954.5,608,962.8,500.9,8,1_back,mst_238_A_l2.png
L,3007161,3007174,14,948,511.6,948.8,532.6,9,1_back,mst_023_A_l1.png
L,3008124,3008362,239,932.4,527.9,943,524.3,9,1_back,mst_023_A_l1.png
