onset	duration	trial_type	stim_id	corr_resp	fix_duration	subj_id	resp_key	rt
288.727	1.5	new	mst_156_A_foil.png	none	1.25620039927786	102	2	1.35061939712614
291.452	1.5	new	mst_074_A_foil.png	none	1.21175262162252	102	NA	NaN
294.952	1.5	lure	mst_268_B_l4.png	2	1.99272409343644	102	2	1.02272297814488
297.943	1.5	lure	mst_265_B_l4.png	2	1.48539297068266	102	2	1.10418023355305
300.86	1.5	old	mst_302_A_l4.png	1	1.40826862468305	102	1	0.915498250164092
303.135	1.5	old	mst_310_A_l4.png	1	0.763253949408754	102	2	1.27747642155737
305.368	1.5	new	mst_056_A_foil.png	none	0.722953965677298	102	2	0.990204744972289
308.227	1.5	lure	mst_283_B_l4.png	2	1.3472176847262	102	2	1.15988510474563
311.935	1.5	lure	mst_242_B_l4.png	2	2.20129966863072	102	2	1.33164875023067
314.285	1.5	lure	mst_287_B_l4.png	2	0.84276572349602	102	2	0.884647559374571
316.41	1.5	old	mst_303_A_l4.png	1	0.613484204664338	102	2	0.931659596040845
319.052	1.5	lure	mst_243_B_l4.png	2	1.132929179326	102	2	1.00607612542808
322.352	1.5	old	mst_292_A_l4.png	1	1.79318791696577	102	1	0.836149809882045
325.26	1.5	old	mst_299_A_l4.png	1	1.40272861800223	102	1	1.19289422500879
328.11	1.5	lure	mst_298_B_l4.png	2	1.34118988182635	102	1	0.950849353335798
331.535	1.5	new	mst_107_A_foil.png	none	1.91674352451291	102	2	1.06393386051059
334.435	1.5	lure	mst_296_B_l4.png	2	1.39385385176113	102	2	0.967973497696221
336.494	1.5	new	mst_018_A_foil.png	none	0.551663184248492	102	1	1.09066181071103
338.794	1.5	old	mst_288_A_l4.png	1	0.793016790411035	102	1	0.661667826585472
342.46	1.5	old	mst_282_A_l4.png	1	2.1537123415095	102	2	1.27107109967619
344.985	1.5	new	mst_097_A_foil.png	none	1.01890788126969	102	1	1.21219633799046
348.319	1.5	new	mst_088_A_foil.png	none	1.8230154867256	102	NA	NaN
350.769	1.5	new	mst_216_A_foil.png	none	0.942464922994081	102	NA	NaN
353.219	1.5	old	mst_297_A_l4.png	1	0.941089676424157	102	1	0.838897673413157
356.844	1.5	lure	mst_289_B_l4.png	2	2.11268566200785	102	2	0.986966305412352
359.369	1.5	new	mst_008_A_foil.png	none	1.01936916353307	102	2	1.43600962776691
362.91	1.5	old	mst_244_A_l4.png	1	2.03648781426206	102	1	0.771502151153982
365.227	1.5	lure	mst_251_B_l4.png	2	0.810073097514543	102	2	0.954838646575809
