onset	duration	trial_type	stim_id	condition	identity	corr_resp	block	fix_duration	subj_id	resp_key	rt
7.776	1.5	filler	mst_144_A_foil.png	filler	F	none	2	1.76601295716626	102	NA	NaN
10.026	1.5	compared	mst_095_A_l2.png	compared	A	none	2	0.738679501399643	102	NA	NaN
13.801	1.5	compared	mst_095_B_l2.png	compared	B	2	2	2.26882043727906	102	2	0.85376650094986
16.976	1.5	repeat	mst_265_A_l4.png	repeat	A	none	2	1.66323503705577	102	NA	NaN
20.151	1.5	repeat	mst_265_A_l4.png	repeat	A	1	2	1.66690743868366	102	1	0.824758982285857
22.567	1.5	repeat	mst_305_A_l4.png	repeat	A	none	2	0.907530873813358	102	NA	NaN
24.976	1.5	repeat	mst_305_A_l4.png	repeat	A	1	2	0.900790947551266	102	1	0.760852868668735
28.951	1.5	compared	mst_108_A_l2.png	compared	A	none	2	2.46353662667587	102	NA	NaN
32.176	1.5	compared	mst_108_B_l2.png	compared	B	2	2	1.71789974671581	102	2	0.731964018195868
34.884	1.5	repeat	mst_264_A_l4.png	repeat	A	none	2	1.20271722750371	102	NA	NaN
37.167	1.5	repeat	mst_264_A_l4.png	repeat	A	1	2	0.77256718007548	102	1	0.677364603616297
39.501	1.5	repeat	mst_273_A_l4.png	repeat	A	none	2	0.825283609168269	102	NA	NaN
42.659	1.5	repeat	mst_273_A_l4.png	repeat	A	1	2	1.64684049221499	102	1	0.685811962932348
46.642	1.5	compared	mst_180_A_l3.png	compared	A	none	2	2.47512668690963	102	NA	NaN
49.017	1.5	compared	mst_180_B_l3.png	compared	B	2	2	0.861511746905365	102	1	0.700550622306764
51.176	1.5	filler	mst_080_A_foil.png	filler	F	none	2	0.644633862515841	102	NA	NaN
54.101	1.5	compared	mst_058_A_l2.png	compared	A	none	2	1.41320036652252	102	NA	NaN
57.926	1.5	compared	mst_058_B_l2.png	compared	B	2	2	2.31581564925959	102	2	0.722347179427743
61.626	1.5	repeat	mst_303_A_l4.png	repeat	A	none	2	2.19204554540451	102	NA	NaN
65.176	1.5	repeat	mst_303_A_l4.png	repeat	A	1	2	2.0428774869097	102	2	0.870460778474808
67.251	1.5	filler	mst_013_A_foil.png	filler	F	none	2	0.560971541147184	102	1	-0.445519702509046
70.668	1.5	compared	mst_073_A_l2.png	compared	A	none	2	1.90419809845956	102	NA	NaN
73.959	1.5	compared	mst_073_B_l2.png	compared	B	2	2	1.78353774016752	102	2	0.700250360183418
77.768	1.5	filler	mst_121_A_foil.png	filler	F	none	2	2.29591818284035	102	NA	NaN
80.768	1.5	filler	mst_191_A_foil.png	filler	F	none	2	1.4890194733331	102	NA	NaN
82.826	1.5	compared	mst_217_A_l3.png	compared	A	none	2	0.547213034595756	102	NA	NaN
85.318	1.5	compared	mst_217_B_l3.png	compared	B	2	2	0.982485333263028	102	2	0.752052220515907
87.801	1.5	filler	mst_193_A_foil.png	filler	F	none	2	0.96994457494741	102	NA	NaN
91.526	1.5	compared	mst_121_A_l3.png	compared	A	none	2	2.21308343742662	102	NA	NaN
95.268	1.5	compared	mst_121_B_l3.png	compared	B	2	2	2.22834665461026	102	2	0.662227248772979
97.559	1.5	filler	mst_072_A_foil.png	filler	F	none	2	0.783182547590318	102	NA	NaN
100.309	1.5	repeat	mst_248_A_l4.png	repeat	A	none	2	1.23734308838346	102	NA	NaN
102.326	1.5	repeat	mst_248_A_l4.png	repeat	A	1	2	0.508633610709872	102	1	0.776983690448105
104.418	1.5	compared	mst_179_A_l3.png	compared	A	none	2	0.578845837296686	102	NA	NaN
106.668	1.5	compared	mst_179_B_l3.png	compared	B	2	2	0.740288152464079	102	2	0.642406653612852
109.534	1.5	filler	mst_166_A_foil.png	filler	F	none	2	1.35966520652408	102	NA	NaN
113.076	1.5	compared	mst_089_A_l2.png	compared	A	none	2	2.03000247955018	102	NA	NaN
115.918	1.5	compared	mst_089_B_l2.png	compared	B	2	2	1.33583640206226	102	2	0.712606062181294
118.993	1.5	repeat	mst_290_A_l4.png	repeat	A	none	2	1.56265720890748	102	NA	NaN
122.443	1.5	repeat	mst_290_A_l4.png	repeat	A	1	2	1.94285404385035	102	1	0.831705954857171
124.668	1.5	compared	mst_004_A_l2.png	compared	A	none	2	0.717740090742302	102	NA	NaN
128.418	1.5	compared	mst_004_B_l2.png	compared	B	2	2	2.24251178577512	102	2	0.761716051027179
132.268	1.5	repeat	mst_311_A_l4.png	repeat	A	none	2	2.3365438704113	102	NA	NaN
135.676	1.5	repeat	mst_311_A_l4.png	repeat	A	1	2	1.89512989140607	102	1	0.552497298456728
139.159	1.5	compared	mst_216_A_l3.png	compared	A	none	2	1.97679805028494	102	NA	NaN
141.726	1.5	compared	mst_216_B_l3.png	compared	B	2	2	1.0559242837651	102	2	0.761579238809645
144.601	1.5	repeat	mst_319_A_l4.png	repeat	A	none	2	1.36558230982267	102	NA	NaN
146.718	1.5	repeat	mst_319_A_l4.png	repeat	A	1	2	0.605316402559388	102	1	0.578936073929071
149.384	1.5	filler	mst_152_A_foil.png	filler	F	none	2	1.15525210572505	102	NA	NaN
153.059	1.5	compared	mst_020_A_l2.png	compared	A	none	2	2.16559990669319	102	NA	NaN
155.209	1.5	compared	mst_020_B_l2.png	compared	B	2	2	0.640901397475381	102	2	0.596464580856264
158.201	1.5	repeat	mst_298_A_l4.png	repeat	A	none	2	1.48478402456089	102	NA	NaN
161.193	1.5	repeat	mst_298_A_l4.png	repeat	A	1	2	1.48421632886328	102	1	0.86520626489073
164.393	1.5	compared	mst_199_A_l3.png	compared	A	none	2	1.68886850331435	102	NA	NaN
167.401	1.5	compared	mst_199_B_l3.png	compared	B	2	2	1.49673860720464	102	2	0.832950877025723
171.376	1.5	filler	mst_209_A_foil.png	filler	F	none	2	2.46545333455583	102	NA	NaN
174.61	1.5	filler	mst_070_A_foil.png	filler	F	none	2	1.7231101952609	102	NA	NaN
178.318	1.5	compared	mst_220_A_l3.png	compared	A	none	2	2.19497704267467	102	NA	NaN
181.301	1.5	compared	mst_220_B_l3.png	compared	B	2	2	1.47368274746651	102	2	0.802175294607878
184.218	1.5	filler	mst_053_A_foil.png	filler	F	none	2	1.40605753823085	102	NA	NaN
187.401	1.5	filler	mst_240_A_foil.png	filler	F	none	2	1.67052985736345	102	NA	NaN
190.376	1.5	compared	mst_231_A_l3.png	compared	A	none	2	1.46604160424811	102	NA	NaN
193.468	1.5	compared	mst_231_B_l3.png	compared	B	2	2	1.58330997333761	102	2	0.746686107479036
196.643	1.5	repeat	mst_258_A_l4.png	repeat	A	none	2	1.6656005333082	102	NA	NaN
198.91	1.5	repeat	mst_258_A_l4.png	repeat	A	1	2	0.760789434684939	102	1	0.628173186443746
201.768	1.5	compared	mst_152_A_l3.png	compared	A	none	2	1.3483658239853	102	NA	NaN
203.943	1.5	compared	mst_152_B_l3.png	compared	B	2	2	0.662902132297559	102	2	0.607857747003436
206.901	1.5	filler	mst_083_A_foil.png	filler	F	none	2	1.44912400840163	102	NA	NaN
209.351	1.5	repeat	mst_284_A_l4.png	repeat	A	none	2	0.94193268907256	102	NA	NaN
212.193	1.5	repeat	mst_284_A_l4.png	repeat	A	1	2	1.33023979454886	102	1	0.981974708847702
214.41	1.5	compared	mst_176_A_l3.png	compared	A	none	2	0.707284152342445	102	NA	NaN
216.635	1.5	compared	mst_176_B_l3.png	compared	B	2	2	0.71185699591157	102	2	0.773386428132653
220.551	1.5	filler	mst_105_A_foil.png	filler	F	none	2	2.4067937344137	102	NA	NaN
222.593	1.5	repeat	mst_251_A_l4.png	repeat	A	none	2	0.527649799890087	102	NA	NaN
226.176	1.5	repeat	mst_251_A_l4.png	repeat	A	1	2	2.07560745472766	102	1	0.852853987365961
228.343	1.5	filler	mst_207_A_foil.png	filler	F	none	2	0.654231274647424	102	NA	NaN
232.243	1.5	repeat	mst_289_A_l4.png	repeat	A	none	2	2.39186878557393	102	NA	NaN
236.085	1.5	repeat	mst_289_A_l4.png	repeat	A	1	2	2.33599360962971	102	2	1.12253863178194
245.535	1.5	compared	mst_086_A_l2.png	compared	A	none	2	1.93560268441602	102	NA	NaN
249.493	1.5	compared	mst_086_B_l2.png	compared	B	2	2	2.45112268492684	102	2	0.853506993502378
251.885	1.5	filler	mst_023_A_foil.png	filler	F	none	2	0.884635591568472	102	NA	NaN
255.152	1.5	filler	mst_110_A_foil.png	filler	F	none	2	1.75583417434436	102	NA	NaN
258.393	1.5	filler	mst_071_A_foil.png	filler	F	none	2	1.72893800443617	102	NA	NaN
262.36	1.5	filler	mst_020_A_foil.png	filler	F	none	2	2.45435432191767	102	NA	NaN
