onset	duration	trial_type	stim_id	condition	identity	goal	corr_resp	block	fix_duration	subj_id	resp_key	rt
7.875	1.5	compared	mst_037_A_l2.png	compared	A	A-A	none	3	1.86779195175289	102	NA	NaN
11.008	1.5	novel	mst_144_A_l3.png	novel	A	A-N	none	3	1.62500695899026	102	NA	NaN
14.217	1.5	compared	mst_037_A_l2.png	compared	A	A-A	1	3	1.69841772545181	102	1	1.38182750809938
17.158	1.5	novel	mst_012_A_l2.png	novel	A	A-A	none	3	1.43609266185201	102	NA	NaN
20.667	1.5	compared	mst_205_A_l3.png	compared	A	A-N	none	3	2.0024210042808	102	NA	NaN
23.808	1.5	novel	mst_012_A_l2.png	novel	A	A-A	1	3	1.63435716447491	102	1	1.01724714413285
26.725	1.5	novel	mst_236_A_l3.png	novel	A	A-B	none	3	1.40697458149311	102	NA	NaN
30.2	1.5	compared	mst_130_A_l3.png	compared	A	A-N	none	3	1.96234631073783	102	NA	NaN
32.542	1.5	novel	mst_236_B_l3.png	novel	B	A-B	2	3	0.834810310615112	102	2	0.894048563204706
35.717	1.5	compared	mst_107_A_l2.png	compared	A	A-B	none	3	1.66771349406627	102	NA	NaN
37.975	1.5	novel	mst_194_A_l3.png	novel	A	A-B	none	3	0.751551290432449	102	NA	NaN
41.3	1.5	compared	mst_107_B_l2.png	compared	B	A-B	2	3	1.8128207089206	102	1	0.932870524004102
44.533	1.5	novel	mst_194_B_l3.png	novel	B	A-B	2	3	1.72208170614602	102	2	0.754541777074337
47.45	1.5	compared	mst_132_A_l3.png	compared	A	A-B	none	3	1.40794453354472	102	NA	NaN
49.475	1.5	novel	mst_234_A_l3.png	novel	A	A-A	none	3	0.511530939724169	102	NA	NaN
52.525	1.5	compared	mst_132_B_l3.png	compared	B	A-B	2	3	1.54054966637678	102	2	0.92505213432014
55.65	1.5	novel	mst_234_A_l3.png	novel	A	A-A	1	3	1.61343219063057	102	1	0.713043105788529
58.834	1.5	compared	mst_070_A_l2.png	compared	A	A-A	none	3	1.67502615202886	102	NA	NaN
62.658	1.5	compared	mst_225_A_l3.png	compared	A	A-A	none	3	2.31554127681372	102	NA	NaN
66.067	1.5	compared	mst_070_A_l2.png	compared	A	A-A	1	3	1.89911411686514	102	1	0.960468873381615
69.142	1.5	compared	mst_225_A_l3.png	compared	A	A-A	1	3	1.56736886105822	102	1	0.77558902464807
71.667	1.5	compared	mst_221_A_l3.png	compared	A	A-B	none	3	1.01481820967555	102	NA	NaN
75.209	1.5	novel	mst_098_A_l2.png	novel	A	A-A	none	3	2.03341222659693	102	NA	NaN
77.65	1.5	compared	mst_221_B_l3.png	compared	B	A-B	2	3	0.934881459324809	102	2	0.943454301916063
81.592	1.5	novel	mst_098_A_l2.png	novel	A	A-A	1	3	2.43415153127119	102	1	0.852772200480103
85.317	1.5	compared	mst_093_A_l2.png	compared	A	A-A	none	3	2.21210581041798	102	NA	NaN
87.9	1.5	compared	mst_005_A_l2.png	compared	A	A-A	none	3	1.07012380023611	102	NA	NaN
91.534	1.5	compared	mst_093_A_l2.png	compared	A	A-A	1	3	2.12333370794947	102	1	0.838202020153403
94.242	1.5	compared	mst_005_A_l2.png	compared	A	A-A	1	3	1.20242398138195	102	1	0.709041901864111
96.917	1.5	novel	mst_069_A_l2.png	novel	A	A-B	none	3	1.16471317910453	102	NA	NaN
99.325	1.5	compared	mst_208_A_l3.png	compared	A	A-A	none	3	0.899265107163572	102	NA	NaN
101.775	1.5	novel	mst_069_B_l2.png	novel	B	A-B	2	3	0.943130207202335	102	1	0.786691091023386
104.942	1.5	compared	mst_208_A_l3.png	compared	A	A-A	1	3	1.65721835053201	102	1	0.712098554708064
107.942	1.5	novel	mst_001_A_l2.png	novel	A	A-N	none	3	1.4913690683101	102	NA	NaN
111.65	1.5	compared	mst_074_A_l2.png	compared	A	A-B	none	3	2.19909967846767	102	NA	NaN
113.942	1.5	novel	mst_123_A_l3.png	novel	A	A-N	none	3	0.783548190054105	102	NA	NaN
117.517	1.5	compared	mst_074_B_l2.png	compared	B	A-B	2	3	2.06428635833155	102	1	0.879306259565055
119.725	1.5	compared	mst_091_A_l2.png	compared	A	A-B	none	3	0.699448911274039	102	NA	NaN
122.726	1.5	novel	mst_088_A_l2.png	novel	A	A-B	none	3	1.48803766246338	102	NA	NaN
125.967	1.5	compared	mst_091_B_l2.png	compared	B	A-B	2	3	1.72784302033412	102	2	0.885370492003858
129.592	1.5	novel	mst_088_B_l2.png	novel	B	A-B	2	3	2.11609211490477	102	2	0.794377691112459
131.967	1.5	novel	mst_168_A_l3.png	novel	A	A-A	none	3	0.863884394580369	102	NA	NaN
134.992	1.5	compared	mst_084_A_l2.png	compared	A	A-N	none	3	1.51712354151031	102	NA	NaN
137.742	1.5	novel	mst_168_A_l3.png	novel	A	A-A	1	3	1.24233446035762	102	1	1.05855368729681
140.809	1.5	novel	mst_155_A_l3.png	novel	A	A-B	none	3	1.55426514597261	102	2	0.641916768625379
144.426	1.5	novel	mst_119_A_l2.png	novel	A	A-N	none	3	2.10923898620682	102	NA	NaN
147.501	1.5	novel	mst_155_B_l3.png	novel	B	A-B	2	3	1.5650524110812	102	2	1.36937344539911
149.917	1.5	novel	mst_137_A_l3.png	novel	A	A-A	none	3	0.908585930254349	102	NA	NaN
152.667	1.5	compared	mst_189_A_l3.png	compared	A	A-N	none	3	1.24402523704818	102	NA	NaN
155.392	1.5	novel	mst_137_A_l3.png	novel	A	A-A	1	3	1.21837619251962	102	1	0.923807396553457
157.551	1.5	novel	mst_085_A_l2.png	novel	A	A-B	none	3	0.65146142529834	102	NA	NaN
159.967	1.5	novel	mst_081_A_l2.png	novel	A	A-B	none	3	0.909755354726711	102	NA	NaN
162.559	1.5	novel	mst_085_B_l2.png	novel	B	A-B	2	3	1.08346870631454	102	2	0.857246092520654
166.484	1.5	novel	mst_081_B_l2.png	novel	B	A-B	2	3	2.41186933709748	102	NA	NaN
168.509	1.5	compared	mst_061_A_l2.png	compared	A	A-B	none	3	0.519982474581319	102	NA	NaN
172.201	1.5	compared	mst_240_A_l3.png	compared	A	A-B	none	3	2.17852808445446	102	NA	NaN
175.309	1.5	compared	mst_061_B_l2.png	compared	B	A-B	2	3	1.59716820828422	102	2	1.1153985420242
178.426	1.5	compared	mst_240_B_l3.png	compared	B	A-B	2	3	1.60354286075469	102	2	1.27082607336342
182.001	1.5	novel	mst_019_A_l2.png	novel	A	A-N	none	3	2.0668631077109	102	NA	NaN
184.917	1.5	novel	mst_087_A_l2.png	novel	A	A-N	none	3	1.40357033091021	102	NA	NaN
188.134	1.5	novel	mst_011_A_l2.png	novel	A	A-N	none	3	1.70739832648187	102	NA	NaN
192.092	1.5	compared	mst_167_A_l3.png	compared	A	A-N	none	3	2.44605122938512	102	NA	NaN
194.784	1.5	compared	mst_193_A_l3.png	compared	A	A-B	none	3	1.1819151504245	102	NA	NaN
196.992	1.5	compared	mst_015_A_l2.png	compared	A	A-N	none	3	0.701376705790863	102	NA	NaN
200.584	1.5	compared	mst_193_B_l3.png	compared	B	A-B	2	3	2.07878919413171	102	NA	NaN
202.767	1.5	novel	mst_228_A_l3.png	novel	A	A-A	none	3	0.675144640714341	102	NA	NaN
205.851	1.5	novel	mst_166_A_l3.png	novel	A	A-B	none	3	1.57729586903895	102	NA	NaN
208.326	1.5	novel	mst_228_A_l3.png	novel	A	A-A	1	3	0.965099518220181	102	NA	NaN
211.359	1.5	novel	mst_166_B_l3.png	novel	B	A-B	2	3	1.52541005376169	102	2	0.942949982360005
214.134	1.5	novel	mst_125_A_l3.png	novel	A	A-A	none	3	1.26720817196727	102	NA	NaN
216.834	1.5	novel	mst_170_A_l3.png	novel	A	A-B	none	3	1.19028509964788	102	NA	NaN
219.409	1.5	novel	mst_125_A_l3.png	novel	A	A-A	1	3	1.0681263953859	102	1	0.760025075636804
222.059	1.5	novel	mst_170_B_l3.png	novel	B	A-B	2	3	1.14451306548603	102	1	0.881206961348653
225.751	1.5	compared	mst_148_A_l3.png	compared	A	A-N	none	3	2.17886478243667	102	NA	NaN
229.351	1.5	compared	mst_204_A_l3.png	compared	A	A-A	none	3	2.08645406316612	102	NA	NaN
232.509	1.5	novel	mst_042_A_l2.png	novel	A	A-N	none	3	1.64761143256852	102	NA	NaN
235.793	1.5	compared	mst_204_A_l3.png	compared	A	A-A	1	3	1.77143532878637	102	1	1.07390551175922
238.726	1.5	compared	mst_009_A_l2.png	compared	A	A-N	none	3	1.42422362325631	102	NA	NaN
241.334	1.5	novel	mst_141_A_l3.png	novel	A	A-N	none	3	1.09592876733247	102	NA	NaN
244.959	1.5	compared	mst_031_A_l2.png	compared	A	A-B	none	3	2.11814590776479	102	NA	NaN
248.026	1.5	novel	mst_036_A_l2.png	novel	A	A-B	none	3	1.55601989905624	102	NA	NaN
251.818	1.5	compared	mst_031_B_l2.png	compared	B	A-B	2	3	2.2845755108725	102	2	0.864178198389709
254.751	1.5	novel	mst_036_B_l2.png	novel	B	A-B	2	3	1.42651089249745	102	1	0.842785843648016
258.259	1.5	compared	mst_192_A_l3.png	compared	A	A-N	none	3	1.99834362379933	102	NA	NaN
261.509	1.5	compared	mst_233_A_l3.png	compared	A	A-B	none	3	1.74293454573673	102	NA	NaN
264.276	1.5	novel	mst_185_A_l3.png	novel	A	A-N	none	3	1.26049940244548	102	NA	NaN
267.276	1.5	compared	mst_233_B_l3.png	compared	B	A-B	2	3	1.49071997104433	102	1	0.940012881532311
270.443	1.5	compared	mst_052_A_l2.png	compared	A	A-N	none	3	1.66093526129065	102	NA	NaN
274.051	1.5	novel	mst_182_A_l3.png	novel	A	A-A	none	3	2.10224858770184	102	NA	NaN
276.226	1.5	novel	mst_118_A_l2.png	novel	A	A-A	none	3	0.664945103942022	102	NA	NaN
278.709	1.5	novel	mst_182_A_l3.png	novel	A	A-A	1	3	0.97352742203852	102	1	1.02181471977383
280.726	1.5	novel	mst_118_A_l2.png	novel	A	A-A	1	3	0.51064335987412	102	1	1.06028073746711
284.134	1.5	novel	mst_017_A_l2.png	novel	A	A-A	none	3	1.89749983715196	102	NA	NaN
286.643	1.5	compared	mst_010_A_l2.png	compared	A	A-A	none	3	0.996565001513926	102	NA	NaN
289.443	1.5	novel	mst_017_A_l2.png	novel	A	A-A	1	3	1.28634090013668	102	2	0.974704487249255
292.451	1.5	compared	mst_010_A_l2.png	compared	A	A-A	1	3	1.50009652439711	102	1	0.89640755020082
294.818	1.5	compared	mst_112_A_l2.png	compared	A	A-A	none	3	0.854335970728806	102	NA	NaN
297.118	1.5	compared	mst_165_A_l3.png	compared	A	A-A	none	3	0.793986399812354	102	NA	NaN
299.718	1.5	compared	mst_112_A_l2.png	compared	A	A-A	1	3	1.09393479199071	102	1	0.764779726043344
302.151	1.5	compared	mst_165_A_l3.png	compared	A	A-A	1	3	0.923707166834676	102	2	1.00254217907786
