subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur,x,y,pupil
615,1,1_back,1,NA,L,9900332,9901433,1102,990.3,567.3,5815
615,1,1_back,1,NA,L,9901445,9901699,255,988.1,546.4,6006
615,1,1_back,1,NA,L,9901708,9901915,208,982.5,554.5,6261
615,1,1_back,1,NA,L,9902129,9902200,72,979.8,502.9,6434
615,1,1_back,1,mst_251_A_l2.png,L,9902219,9902394,176,982.8,549.2,6425
615,1,1_back,1,mst_251_A_l2.png,L,9902650,9902847,198,906.3,597.9,5312
615,1,1_back,1,mst_251_A_l2.png,L,9902863,9903370,508,958.8,607.9,4677
615,1,1_back,1,mst_251_A_l2.png,L,9903394,9903649,256,989,518.1,4720
615,1,1_back,2,mst_251_A_l2.png,L,9903678,9903906,229,984,636.9,5263
615,1,1_back,2,mst_251_A_l2.png,L,9903924,9904194,271,960.6,577.6,5589
615,1,1_back,2,mst_202_A_l2.png,L,9904212,9905080,869,971.3,579,5557
615,1,1_back,2,mst_202_A_l2.png,L,9905158,9905649,492,278.2,749.8,4905
615,1,1_back,2,mst_202_A_l2.png,L,9905728,9906019,292,1039.6,580.7,5705
615,1,1_back,3,mst_202_A_l2.png,L,9906032,9906269,238,1011.4,563.6,5620
615,1,1_back,3,mst_202_A_l2.png,L,9906287,9906437,151,996.5,574.4,5567
615,1,1_back,3,mst_513_A_foil.png,L,9906449,9906985,537,979.8,548,5893
615,1,1_back,3,mst_513_A_foil.png,L,9907004,9907338,335,956.6,541.3,5260
615,1,1_back,3,mst_513_A_foil.png,L,9907525,9907688,164,1018.6,574.5,5234
615,1,1_back,3,mst_513_A_foil.png,L,9907711,9908082,372,999.6,545.7,5738
615,1,1_back,4,mst_513_A_foil.png,L,9908095,9908398,304,970,540.5,6058
615,1,1_back,4,mst_513_A_foil.png,L,9908415,9908778,364,974.2,552.5,6024
615,1,1_back,4,mst_513_A_foil.png,L,9908794,9909374,581,970.6,523.7,6190
615,1,1_back,4,mst_513_A_foil.png,L,9909381,9910040,660,962.1,565.8,5268
615,1,1_back,5,mst_513_A_foil.png,L,9910063,9910682,620,1006,515.9,5903
615,1,1_back,5,mst_140_A_l1.png,L,9910911,9912075,1165,976.1,575.4,5533
615,1,1_back,6,mst_140_A_l1.png,L,9912364,9913072,709,1047.2,523.2,5374
