subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur,x,y,pupil
606,1,1_back,17,mst_292_A_l2.png,L,1046129,1046369,241,931.5,659.7,3973
606,1,1_back,17,mst_292_A_l2.png,L,1046391,1046603,213,955.4,601.3,3923
606,1,1_back,17,mst_292_A_l2.png,L,1046642,1046947,306,1011.9,491.8,3871
606,1,1_back,18,mst_029_A_l1.png,L,1046965,1047666,702,945.3,481.9,4204
606,1,1_back,18,mst_029_A_l1.png,L,1047687,1047859,173,970.7,520.4,4399
606,1,1_back,18,mst_029_A_l1.png,L,1047893,1048314,422,947.9,422.6,4179
606,1,1_back,18,mst_029_A_l1.png,L,1048327,1048455,129,961.4,448.4,4000
606,1,1_back,19,mst_029_A_l1.png,L,1048774,1049157,384,970.3,437,4321
606,1,1_back,19,mst_029_A_l1.png,L,1049175,1049394,220,979.9,463.1,4203
606,1,1_back,19,mst_029_B_l1.png,L,1049417,1049851,435,953.6,516,4160
606,1,1_back,19,mst_029_B_l1.png,L,1049878,1050083,206,972.5,391.1,4107
606,1,1_back,20,mst_029_B_l1.png,L,1050323,1051447,1125,968.7,390,3832
606,1,1_back,20,mst_287_A_l2.png,L,1051470,1052261,792,949.4,457.5,4302
606,1,1_back,20,mst_287_A_l2.png,L,1052292,1052680,389,956,570.6,4098
606,1,1_back,20,mst_287_A_l2.png,L,1052706,1053145,440,963.6,456.4,3858
606,1,1_back,20,mst_287_A_l2.png,L,1053160,1053311,152,932.3,480.9,3992
606,1,1_back,21,mst_287_A_l2.png,L,1053581,1053973,393,958.2,460,4080
606,1,1_back,21,mst_133_A_l1.png,L,1054000,1054818,819,945.9,517.3,3985
606,1,1_back,21,mst_133_A_l1.png,L,1054836,1055003,168,882.4,509.9,3697
606,1,1_back,21,mst_133_A_l1.png,L,1055023,1055531,509,924.9,513.7,3594
606,1,1_back,22,mst_133_A_l1.png,L,1055564,1055947,384,1101.3,493.3,3577
606,1,1_back,22,mst_246_B_l2.png,L,1055970,1056981,1012,960.7,513.8,3950
606,1,1_back,22,mst_246_B_l2.png,L,1057003,1057290,288,1037.9,506.2,3945
606,1,1_back,22,mst_246_B_l2.png,L,1057581,1057882,302,1023,481,3981
606,1,1_back,23,mst_246_B_l2.png,L,1057895,1058312,418,1032.1,504.1,4079
606,1,1_back,23,mst_246_B_l2.png,L,1058331,1058504,174,981.7,482.2,3991
606,1,1_back,23,mst_155_A_l1.png,L,1058523,1059107,585,961.9,531.2,4020
606,1,1_back,23,mst_155_A_l1.png,L,1059128,1059284,157,966.5,476.5,3989
606,1,1_back,24,mst_149_A_l1.png,L,1059298,1061243,1946,919.3,493.8,4189
606,1,1_back,24,mst_149_A_l1.png,L,1061267,1061497,231,970.7,429.5,4302
606,1,1_back,25,mst_149_A_l1.png,L,1061722,1062618,897,985.2,397.1,4387
606,1,1_back,25,mst_149_B_l1.png,L,1062651,1063419,769,934.3,492.3,4375
606,1,1_back,26,mst_283_A_l2.png,L,1063437,1065602,2166,968.2,494.5,4339
606,1,1_back,26,mst_283_A_l2.png,L,1065629,1066220,592,951.4,598.6,4160
606,1,1_back,26,mst_283_A_l2.png,L,1066248,1066572,325,960.6,465.5,4192
606,1,1_back,27,mst_283_A_l2.png,L,1066597,1067016,420,953.9,600.1,4270
606,1,1_back,27,mst_580_A_foil.png,L,1067037,1068233,1197,966,525.6,4477
606,1,1_back,27,mst_580_A_foil.png,L,1068553,1068805,253,986.9,501.5,4161
606,1,1_back,27,mst_580_A_foil.png,L,1068826,1069038,213,1016.3,539,4226
606,1,1_back,28,mst_580_A_foil.png,L,1069332,1069509,178,982.2,493.6,4086
606,1,1_back,28,mst_580_A_foil.png,L,1069530,1071194,1665,964.4,513.8,4214
606,1,1_back,29,mst_580_A_foil.png,L,1071218,1071572,355,1006.6,506,4325
606,1,1_back,29,mst_580_A_foil.png,L,1071593,1072073,481,965,505.4,4461
606,1,1_back,29,mst_200_A_l2.png,L,1072306,1072525,220,961.7,507.5,4416
606,1,1_back,29,mst_200_A_l2.png,L,1072539,1072668,130,956.1,538.1,4400
606,1,1_back,30,mst_200_A_l2.png,L,1072687,1074044,1358,876,548.7,4014
606,1,1_back,30,mst_200_B_l2.png,L,1074066,1074898,833,956,530,4258
606,1,1_back,30,mst_200_B_l2.png,L,1074909,1075460,552,939.8,553.5,3936
606,1,1_back,30,mst_200_B_l2.png,L,1075494,1075757,264,1055.7,502.5,3949
606,1,1_back,31,mst_200_B_l2.png,L,1076040,1076285,246,1013.1,475.1,4130
606,1,1_back,31,mst_257_A_l2.png,L,1076308,1077272,965,965,530.2,4253
606,1,1_back,31,mst_257_A_l2.png,L,1077294,1077630,337,895.3,584,4158
606,1,1_back,32,mst_042_A_l1.png,L,1077654,1079457,1804,966.7,524.8,4407
606,1,1_back,32,mst_042_A_l1.png,L,1079480,1079577,98,990.6,445.4,4322
606,1,1_back,32,mst_042_A_l1.png,L,1079830,1080132,303,962.3,470.1,3876
606,1,1_back,32,mst_042_A_l1.png,L,1080147,1080627,481,982.3,442.9,3939
606,1,1_back,33,mst_042_A_l1.png,L,1080646,1081229,584,956.9,459,3968
606,1,1_back,34,mst_042_B_l1.png,L,1081251,1082848,1598,979,540.7,4106
