subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur,x,y,pupil
614,1,1_back,1,NA,L,480561,480834,274,957.3,494.1,6097
614,1,1_back,1,NA,L,480862,481055,194,928.1,497,6116
614,1,1_back,1,NA,L,481074,481287,214,963.6,506.2,6039
614,1,1_back,1,mst_309_A_l2.png,L,481306,482155,850,967.1,527.9,5329
614,1,1_back,1,mst_309_A_l2.png,L,482180,482512,333,902.9,609.5,5006
614,1,1_back,2,mst_309_A_l2.png,L,482537,483372,836,968.1,517.7,5511
614,1,1_back,2,mst_309_A_l2.png,L,483526,483960,435,959.2,521.5,5881
614,1,1_back,2,mst_098_A_foil.png,L,484170,484726,557,958.7,521.3,5480
614,1,1_back,2,mst_098_A_foil.png,L,484758,485310,553,1071.7,577.5,5103
614,1,1_back,3,mst_098_A_foil.png,L,485345,485720,376,954.1,503.9,5581
614,1,1_back,3,mst_098_A_foil.png,L,486052,486207,156,991.2,539.7,6278
614,1,1_back,3,mst_098_A_foil.png,L,486236,486924,689,977.3,534.9,5656
614,1,1_back,3,mst_098_A_foil.png,L,487048,487758,711,991.6,542.3,5397
614,1,1_back,4,mst_098_A_foil.png,L,487776,488039,264,995.8,503.4,5339
614,1,1_back,4,mst_175_A_l1.png,L,488068,488651,584,959.9,527.5,5800
614,1,1_back,4,mst_175_A_l1.png,L,488680,489024,345,964.6,432.1,5230
614,1,1_back,4,mst_175_A_l1.png,L,489064,489311,248,969.1,606.1,4967
614,1,1_back,4,mst_175_A_l1.png,L,489328,489595,268,980,577.8,5084
614,1,1_back,5,mst_175_A_l1.png,L,489803,490264,462,960.6,510.7,5400
614,1,1_back,5,mst_175_B_l1.png,L,490272,491089,818,972.7,513.1,5664
614,1,1_back,5,mst_175_B_l1.png,L,491119,491556,438,950.4,518.2,5187
614,1,1_back,6,mst_175_B_l1.png,L,491574,492621,1048,982.7,486.1,5199
614,1,1_back,6,mst_008_A_l1.png,L,492637,494078,1442,968,522.3,5140
614,1,1_back,7,mst_008_A_l1.png,L,494181,494701,521,961.8,523.6,5103
614,1,1_back,7,mst_207_A_l2.png,L,494714,495330,617,982.1,521.6,5288
614,1,1_back,7,mst_207_A_l2.png,L,495367,495487,121,947.2,432.3,5618
614,1,1_back,7,mst_207_A_l2.png,L,495521,495789,269,942.9,393,5203
614,1,1_back,7,mst_207_A_l2.png,L,495841,496055,215,1003.2,607.5,5127
614,1,1_back,8,mst_207_A_l2.png,L,496103,496766,664,959.6,450.8,5051
614,1,1_back,8,mst_207_A_l2.png,L,496796,496979,184,973.3,543.3,5357
614,1,1_back,8,mst_207_B_l2.png,L,497003,497674,672,973.4,505.5,5730
614,1,1_back,8,mst_207_B_l2.png,L,497699,497834,136,975.5,428.7,5851
614,1,1_back,8,mst_207_B_l2.png,L,497860,498361,502,992,397,5127
614,1,1_back,8,mst_207_B_l2.png,L,498386,498721,336,965,487.8,5319
614,1,1_back,8,mst_207_B_l2.png,L,498761,498995,235,826,535.7,5614
614,1,1_back,9,mst_207_B_l2.png,L,499021,499303,283,980.7,429,5362
614,1,1_back,9,mst_121_A_l1.png,L,499335,499875,541,960.2,520.8,5390
614,1,1_back,9,mst_121_A_l1.png,L,499898,500222,325,977.1,457.6,5781
614,1,1_back,9,mst_121_A_l1.png,L,500263,500624,362,902.6,555.1,4942
614,1,1_back,9,mst_121_A_l1.png,L,500641,500798,158,953,523.5,4732
614,1,1_back,9,mst_121_A_l1.png,L,500812,501190,379,984.4,494.1,4675
614,1,1_back,10,mst_121_A_l1.png,L,501200,501638,439,1004.1,474.3,4832
614,1,1_back,10,mst_109_A_l1.png,L,501969,502189,221,1002.1,484.4,5407
614,1,1_back,10,mst_109_A_l1.png,L,502221,502955,735,961,515.9,4964
614,1,1_back,11,mst_109_A_l1.png,L,503192,503436,245,940.4,477.2,4988
614,1,1_back,11,mst_109_A_l1.png,L,503458,503668,211,969.9,455.6,5102
614,1,1_back,11,mst_109_A_l1.png,L,503697,503887,191,971.4,524,4972
614,1,1_back,11,mst_335_A_l2.png,L,503912,504448,537,967.7,458.1,5323
614,1,1_back,11,mst_335_A_l2.png,L,504481,504633,153,862.4,542.9,5463
614,1,1_back,11,mst_335_A_l2.png,L,504653,505123,471,838.8,565,4624
614,1,1_back,12,mst_335_A_l2.png,L,505367,505801,435,919.7,576.7,4702
614,1,1_back,12,mst_335_A_l2.png,L,505828,506049,222,995.8,503.6,4406
614,1,1_back,12,mst_659_A_foil.png,L,506068,507016,949,965.3,531.9,4970
614,1,1_back,12,mst_659_A_foil.png,L,507054,508085,1032,886.8,585.4,4681
614,1,1_back,13,mst_659_A_foil.png,L,508110,508426,317,1030.1,515.8,4783
614,1,1_back,13,mst_659_A_foil.png,L,508447,508800,354,971.5,532.5,4854
614,1,1_back,13,mst_659_A_foil.png,L,508933,509381,449,956.3,522.9,5298
614,1,1_back,14,mst_659_A_foil.png,L,509405,510605,1201,907.3,575.3,4867
614,1,1_back,14,mst_674_A_foil.png,L,510633,510996,364,954.4,545.2,5597
614,1,1_back,14,mst_674_A_foil.png,L,511024,511246,223,927,512.2,5901
614,1,1_back,14,mst_674_A_foil.png,L,511280,511521,242,831.5,607,5414
614,1,1_back,14,mst_674_A_foil.png,L,511536,511876,341,837.2,635.1,4723
614,1,1_back,15,mst_674_A_foil.png,L,512349,512689,341,890.8,621.3,5171
614,1,1_back,15,mst_674_A_foil.png,L,512712,512967,256,961.3,561.8,4830
614,1,1_back,15,mst_674_A_foil.png,L,512976,513366,391,975.1,547,4919
614,1,1_back,15,mst_674_A_foil.png,L,513403,514084,682,852.8,612.9,4755
614,1,1_back,16,mst_674_A_foil.png,L,514107,514866,760,951.6,544.5,4823
