subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur,sx,sy,ex,ey
603,1,1_back,1,NA,L,670668,670883,216,946,NaN,0,559
603,1,1_back,1,NA,L,670923,670934,12,936,NaN,1,509
603,1,1_back,1,mst_706_A_foil.png,L,671521,671538,18,955,NaN,6,571
603,1,1_back,1,mst_706_A_foil.png,L,672018,672032,15,1021,NaN,4,575
603,1,1_back,1,mst_706_A_foil.png,L,672400,672420,21,974,NaN,9,562
603,1,1_back,2,mst_706_A_foil.png,L,672924,672941,18,964,NaN,9,642
603,1,1_back,2,mst_706_A_foil.png,L,673784,673802,19,969,NaN,4,577
603,1,1_back,2,mst_706_A_foil.png,L,674855,674989,135,1026,NaN,7,608
603,1,1_back,3,mst_706_A_foil.png,L,675096,675307,212,999,NaN,8,599
603,1,1_back,3,mst_706_A_foil.png,L,675463,675479,17,995,NaN,7,579
603,1,1_back,3,mst_060_A_l1.png,L,676389,676409,21,977,NaN,6,580
603,1,1_back,3,mst_060_A_l1.png,L,676913,676920,8,963,NaN,7,550
603,1,1_back,4,mst_060_A_l1.png,L,677418,677424,7,978,NaN,8,554
603,1,1_back,4,mst_264_A_l2.png,L,678319,678342,24,971,NaN,2,565
603,1,1_back,4,mst_264_A_l2.png,L,678496,678533,38,1028,NaN,0,621
603,1,1_back,4,mst_264_A_l2.png,L,678713,678732,20,868,NaN,0,682
603,1,1_back,4,mst_264_A_l2.png,L,679401,679433,33,813,NaN,2,699
603,1,1_back,5,mst_264_A_l2.png,L,679729,679756,28,1024,NaN,2,673
603,1,1_back,5,mst_264_A_l2.png,L,679981,679993,13,993,NaN,7,585
603,1,1_back,5,mst_345_A_l2.png,L,680674,680696,23,984,NaN,8,562
603,1,1_back,5,mst_345_A_l2.png,L,680942,680957,16,881,NaN,8,598
603,1,1_back,6,mst_345_A_l2.png,L,681794,681984,191,831,NaN,9,607
603,1,1_back,6,mst_345_A_l2.png,L,682037,682042,6,978,NaN,8,524
603,1,1_back,6,mst_271_A_l2.png,L,682997,683015,19,966,NaN,3,565
603,1,1_back,6,mst_271_A_l2.png,L,683352,683689,338,938,NaN,8,565
603,1,1_back,7,mst_271_A_l2.png,L,684437,684457,21,1003,NaN,3,542
603,1,1_back,7,mst_699_A_foil.png,L,685771,685793,23,986,NaN,3,603
603,1,1_back,7,mst_699_A_foil.png,L,686188,686208,21,1085,NaN,3,603
603,1,1_back,8,mst_699_A_foil.png,L,686827,686842,16,1017,NaN,9,583
603,1,1_back,8,mst_699_A_foil.png,L,687091,687106,16,984,NaN,5,592
603,1,1_back,8,mst_699_A_foil.png,L,687866,688042,177,974,NaN,1,587
603,1,1_back,8,mst_699_A_foil.png,L,688587,688607,21,1018,NaN,6,564
603,1,1_back,9,mst_699_A_foil.png,L,689063,689068,6,966,NaN,9,566
