subj_id,block,task,trial_id,stim_id,onset_time,n_fix,n_sac,n_blink
607,1,1_back,1,mst_644_A_foil.png,455878,2,2,0
607,1,1_back,2,mst_644_A_foil.png,458391,1,1,0
607,1,1_back,3,mst_264_A_l2.png,460415,2,2,1
607,1,1_back,4,mst_264_B_l2.png,462857,3,3,1
607,1,1_back,5,mst_171_A_l1.png,465030,4,4,1
607,1,1_back,6,mst_171_B_l1.png,467387,3,3,2
607,1,1_back,7,mst_160_A_foil.png,469852,4,4,1
607,1,1_back,8,mst_160_A_foil.png,472163,1,1,1
607,1,1_back,9,mst_119_A_l1.png,474562,5,5,2
607,1,1_back,10,mst_260_A_l2.png,476715,5,5,2
607,1,1_back,11,mst_247_A_l2.png,479168,5,5,0
607,1,1_back,12,mst_445_A_foil.png,481483,5,5,1
607,1,1_back,13,mst_445_A_foil.png,483547,4,4,1
607,1,1_back,14,mst_344_A_l2.png,485649,4,4,2
607,1,1_back,15,mst_076_A_foil.png,488090,8,8,1
607,1,1_back,16,mst_076_A_foil.png,490135,3,3,1
607,1,1_back,17,mst_166_A_l1.png,492586,6,6,2
607,1,1_back,18,mst_166_B_l1.png,494988,1,1,0
607,1,1_back,19,mst_192_A_l2.png,497481,4,4,2
607,1,1_back,20,mst_192_B_l2.png,499510,1,1,0
607,1,1_back,21,mst_208_A_l2.png,501957,9,8,1
607,1,1_back,22,mst_573_A_foil.png,504369,4,4,2
607,1,1_back,23,mst_573_A_foil.png,506578,1,2,0
607,1,1_back,24,mst_336_A_l2.png,508755,5,5,1
607,1,1_back,25,mst_336_B_l2.png,510821,1,1,0
607,1,1_back,26,mst_084_A_l1.png,513078,4,4,2
607,1,1_back,27,mst_186_A_l2.png,515437,5,4,1
607,1,1_back,28,mst_136_A_l1.png,517613,4,5,2
607,1,1_back,29,mst_064_A_l1.png,520009,6,6,2
607,1,1_back,30,mst_588_A_foil.png,522209,4,4,2
607,1,1_back,31,mst_588_A_foil.png,524520,4,3,2
607,1,1_back,32,mst_575_A_foil.png,526650,5,6,2
607,1,1_back,33,mst_575_A_foil.png,528731,5,5,0
