subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur,sx,sy,ex,ey
615,1,1_back,1,NA,L,9901434,9901444,11,989,NaN,1,563
615,1,1_back,1,NA,L,9901700,9901707,8,982,NaN,7,547
615,1,1_back,1,NA,L,9901916,9902128,213,980,NaN,6,550
615,1,1_back,1,NA,L,9902201,9902218,18,981,NaN,1,517
615,1,1_back,1,mst_251_A_l2.png,L,9902395,9902649,255,983,NaN,1,549
615,1,1_back,1,mst_251_A_l2.png,L,9902848,9902862,15,912,NaN,5,612
615,1,1_back,1,mst_251_A_l2.png,L,9903371,9903393,23,967,NaN,9,609
615,1,1_back,1,mst_251_A_l2.png,L,9903650,9903677,28,986,NaN,6,515
615,1,1_back,2,mst_251_A_l2.png,L,9903907,9903923,17,980,NaN,5,628
615,1,1_back,2,mst_251_A_l2.png,L,9904195,9904211,17,961,NaN,9,579
615,1,1_back,2,mst_202_A_l2.png,L,9905081,9905157,77,980,NaN,4,602
615,1,1_back,2,mst_202_A_l2.png,L,9905650,9905727,78,301,NaN,7,754
615,1,1_back,2,mst_202_A_l2.png,L,9906020,9906031,12,1037,NaN,0,583
615,1,1_back,3,mst_202_A_l2.png,L,9906270,9906286,17,1013,NaN,0,570
615,1,1_back,3,mst_202_A_l2.png,L,9906438,9906448,11,996,NaN,4,569
615,1,1_back,3,mst_513_A_foil.png,L,9906986,9907003,18,982,NaN,7,548
615,1,1_back,3,mst_513_A_foil.png,L,9907339,9907524,186,963,NaN,5,552
615,1,1_back,3,mst_513_A_foil.png,L,9907689,9907710,22,1012,NaN,8,573
615,1,1_back,3,mst_513_A_foil.png,L,9908083,9908094,12,999,NaN,6,539
615,1,1_back,4,mst_513_A_foil.png,L,9908399,9908414,16,965,NaN,7,542
615,1,1_back,4,mst_513_A_foil.png,L,9908779,9908793,15,974,NaN,4,551
615,1,1_back,4,mst_513_A_foil.png,L,9909375,9909380,6,966,NaN,6,548
615,1,1_back,4,mst_513_A_foil.png,L,9910041,9910062,22,961,NaN,1,560
615,1,1_back,5,mst_513_A_foil.png,L,9910683,9910910,228,1005,NaN,6,521
615,1,1_back,5,mst_140_A_l1.png,L,9912076,9912363,288,992,NaN,1,605
615,1,1_back,6,mst_140_A_l1.png,L,9913073,9913100,28,1053,NaN,6,513
615,1,1_back,6,mst_140_A_l1.png,L,9913309,9913326,18,998,NaN,4,558
615,1,1_back,6,mst_140_B_l1.png,L,9913818,9913847,30,974,NaN,9,585
615,1,1_back,6,mst_140_B_l1.png,L,9914023,9914044,22,1050,NaN,5,525
615,1,1_back,6,mst_140_B_l1.png,L,9914272,9914326,55,1080,NaN,8,487
615,1,1_back,6,mst_140_B_l1.png,L,9914669,9914712,44,918,NaN,0,651
615,1,1_back,6,mst_140_B_l1.png,L,9914842,9914865,24,1030,NaN,2,522
615,1,1_back,7,mst_140_B_l1.png,L,9915147,9915189,43,1066,NaN,8,466
615,1,1_back,7,mst_140_B_l1.png,L,9915268,9915290,23,997,NaN,1,561
615,1,1_back,7,mst_140_B_l1.png,L,9915479,9915498,20,973,NaN,4,603
615,1,1_back,7,mst_210_A_l2.png,L,9916054,9916076,23,980,NaN,9,545
615,1,1_back,7,mst_210_A_l2.png,L,9916669,9916693,25,901,NaN,7,558
615,1,1_back,8,mst_210_A_l2.png,L,9917673,9917693,21,1005,NaN,6,571
615,1,1_back,8,mst_210_A_l2.png,L,9918054,9918072,19,968,NaN,9,507
615,1,1_back,8,mst_210_B_l2.png,L,9918458,9918478,21,984,NaN,9,552
615,1,1_back,8,mst_210_B_l2.png,L,9918887,9918969,83,1075,NaN,0,505
615,1,1_back,9,mst_210_B_l2.png,L,9919851,9919874,24,1015,NaN,0,514
615,1,1_back,9,mst_210_B_l2.png,L,9920210,9920227,18,980,NaN,7,546
615,1,1_back,9,mst_562_A_foil.png,L,9920995,9921002,8,973,NaN,1,568
615,1,1_back,9,mst_562_A_foil.png,L,9921505,9921850,346,957,NaN,5,569
615,1,1_back,10,mst_562_A_foil.png,L,9922254,9922284,31,997,NaN,6,538
615,1,1_back,10,mst_562_A_foil.png,L,9922492,9922510,19,975,NaN,1,552
615,1,1_back,10,mst_562_A_foil.png,L,9923450,9923465,16,981,NaN,3,595
615,1,1_back,10,mst_562_A_foil.png,L,9923978,9924000,23,1024,NaN,6,590
615,1,1_back,11,mst_562_A_foil.png,L,9924524,9924545,22,947,NaN,5,541
615,1,1_back,11,mst_562_A_foil.png,L,9924871,9924893,23,974,NaN,7,563
615,1,1_back,11,mst_014_A_foil.png,L,9925179,9925197,19,980,NaN,0,532
615,1,1_back,11,mst_014_A_foil.png,L,9925824,9926109,286,995,NaN,8,580
615,1,1_back,12,mst_014_A_foil.png,L,9926893,9926935,43,1012,NaN,6,591
615,1,1_back,12,mst_014_A_foil.png,L,9927312,9927333,22,960,NaN,5,541
615,1,1_back,12,mst_014_A_foil.png,L,9927549,9927566,18,980,NaN,2,524
615,1,1_back,13,mst_014_A_foil.png,L,9929407,9929416,10,989,NaN,1,537
615,1,1_back,13,mst_014_A_foil.png,L,9929815,9929827,13,975,NaN,7,568
615,1,1_back,13,mst_343_A_l2.png,L,9930286,9930297,12,970,NaN,9,540
615,1,1_back,13,mst_343_A_l2.png,L,9930528,9930868,341,968,NaN,6,600
615,1,1_back,14,mst_343_A_l2.png,L,9931834,9931853,20,999,NaN,1,585
615,1,1_back,14,mst_343_A_l2.png,L,9932108,9932122,15,977,NaN,4,565
615,1,1_back,14,mst_141_A_l1.png,L,9932442,9932458,17,974,NaN,8,559
615,1,1_back,14,mst_141_A_l1.png,L,9932708,9932729,22,958,NaN,6,568
615,1,1_back,14,mst_141_A_l1.png,L,9933067,9933336,270,909,NaN,3,554
615,1,1_back,14,mst_141_A_l1.png,L,9933458,9933479,22,963,NaN,7,540
615,1,1_back,15,mst_141_A_l1.png,L,9934076,9934109,34,901,NaN,4,516
615,1,1_back,15,mst_141_A_l1.png,L,9934256,9934275,20,991,NaN,3,611
615,1,1_back,15,mst_141_A_l1.png,L,9934457,9934477,21,969,NaN,9,626
615,1,1_back,15,mst_141_A_l1.png,L,9934785,9934794,10,965,NaN,4,574
615,1,1_back,15,mst_201_A_l2.png,L,9935214,9935235,22,961,NaN,9,574
615,1,1_back,15,mst_201_A_l2.png,L,9935550,9935836,287,986,NaN,6,525
615,1,1_back,15,mst_201_A_l2.png,L,9936057,9936084,28,1002,NaN,6,590
615,1,1_back,16,mst_201_A_l2.png,L,9936687,9936709,23,970,NaN,4,540
615,1,1_back,16,mst_236_A_l2.png,L,9937296,9937307,12,975,NaN,2,578
615,1,1_back,16,mst_236_A_l2.png,L,9937586,9937591,6,1000,NaN,2,570
615,1,1_back,16,mst_236_A_l2.png,L,9937757,9937927,171,990,NaN,4,568
615,1,1_back,16,mst_236_A_l2.png,L,9938301,9938310,10,982,NaN,4,580
615,1,1_back,17,mst_236_A_l2.png,L,9938546,9938558,13,993,NaN,4,563
615,1,1_back,17,mst_236_A_l2.png,L,9938666,9938676,11,975,NaN,9,580
615,1,1_back,17,mst_192_A_l2.png,L,9939904,9939911,8,988,NaN,1,582
615,1,1_back,17,mst_192_A_l2.png,L,9940079,9940299,221,1003,NaN,4,554
615,1,1_back,17,mst_192_A_l2.png,L,9940526,9940538,13,998,NaN,6,518
615,1,1_back,17,mst_192_A_l2.png,L,9940788,9940795,8,1000,NaN,0,530
615,1,1_back,18,mst_192_A_l2.png,L,9941099,9941107,9,982,NaN,3,550
615,1,1_back,18,mst_220_A_l2.png,L,9941724,9941757,34,969,NaN,4,566
615,1,1_back,18,mst_220_A_l2.png,L,9941917,9941936,20,1028,NaN,7,569
615,1,1_back,18,mst_220_A_l2.png,L,9942295,9942299,5,1049,NaN,3,565
615,1,1_back,18,mst_220_A_l2.png,L,9942844,9942862,19,1037,NaN,7,552
615,1,1_back,19,mst_220_A_l2.png,L,9942989,9943220,232,1012,NaN,1,565
615,1,1_back,19,mst_220_A_l2.png,L,9943345,9943353,9,971,NaN,9,567
615,1,1_back,19,mst_220_B_l2.png,L,9943982,9944003,22,980,NaN,9,571
615,1,1_back,20,mst_220_B_l2.png,L,9945402,9945411,10,986,NaN,3,559
615,1,1_back,20,mst_139_A_l1.png,L,9946116,9946121,6,964,NaN,5,577
615,1,1_back,20,mst_139_A_l1.png,L,9946483,9946490,8,986,NaN,5,585
615,1,1_back,20,mst_139_A_l1.png,L,9946955,9947161,207,1014,NaN,3,581
615,1,1_back,21,mst_139_A_l1.png,L,9947463,9947473,11,1006,NaN,8,573
615,1,1_back,21,mst_139_A_l1.png,L,9947931,9948114,184,999,NaN,6,587
615,1,1_back,21,mst_139_B_l1.png,L,9948601,9948617,17,983,NaN,9,596
615,1,1_back,21,mst_139_B_l1.png,L,9948854,9949170,317,1016,NaN,3,556
615,1,1_back,21,mst_139_B_l1.png,L,9949634,9949648,15,1010,NaN,2,567
615,1,1_back,22,mst_139_B_l1.png,L,9949981,9949992,12,997,NaN,5,583
615,1,1_back,22,mst_139_B_l1.png,L,9950204,9950215,12,989,NaN,0,594
615,1,1_back,22,mst_220_A_foil.png,L,9950821,9950839,19,986,NaN,4,577
615,1,1_back,22,mst_220_A_foil.png,L,9950997,9951234,238,1055,NaN,8,584
615,1,1_back,22,mst_220_A_foil.png,L,9951386,9951395,10,1040,NaN,8,568
615,1,1_back,22,mst_220_A_foil.png,L,9951771,9951781,11,1037,NaN,4,572
615,1,1_back,23,mst_220_A_foil.png,L,9952377,9952409,33,1062,NaN,6,593
615,1,1_back,23,mst_220_A_foil.png,L,9952657,9952675,19,1007,NaN,2,571
615,1,1_back,23,mst_220_A_foil.png,L,9952907,9952928,22,992,NaN,4,599
