subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur,sx,sy,ex,ey
501,1,1_back,17,mst_082_A_foil.png,L,1780733,1781086,354,960,NaN,5,427
501,1,1_back,17,mst_309_A_l2.png,L,1781857,1781895,39,944,NaN,0,492
501,1,1_back,17,mst_309_A_l2.png,L,1782706,1782729,24,913,NaN,5,606
501,1,1_back,18,mst_309_A_l2.png,L,1783247,1783269,23,1006,NaN,0,567
501,1,1_back,18,mst_309_A_l2.png,L,1783680,1783703,24,934,NaN,2,564
501,1,1_back,18,mst_205_A_l2.png,L,1784496,1784986,491,978,NaN,4,535
501,1,1_back,18,mst_205_A_l2.png,L,1785274,1785305,32,950,NaN,5,536
501,1,1_back,19,mst_205_A_l2.png,L,1785587,1785608,22,851,NaN,8,687
501,1,1_back,19,mst_205_A_l2.png,L,1785740,1785769,30,829,NaN,8,742
501,1,1_back,19,mst_258_A_l2.png,L,1786467,1786492,26,961,NaN,4,557
501,1,1_back,19,mst_258_A_l2.png,L,1786746,1787105,360,1078,NaN,8,542
501,1,1_back,20,mst_685_A_foil.png,L,1788955,1788972,18,944,NaN,4,579
501,1,1_back,20,mst_685_A_foil.png,L,1789298,1789328,31,875,NaN,3,603
501,1,1_back,21,mst_685_A_foil.png,L,1789815,1789840,26,983,NaN,9,514
501,1,1_back,21,mst_685_A_foil.png,L,1790441,1790462,22,926,NaN,7,568
501,1,1_back,21,mst_685_A_foil.png,L,1791913,1791928,16,926,NaN,0,518
501,1,1_back,22,mst_685_A_foil.png,L,1792303,1792324,22,985,NaN,5,542
501,1,1_back,22,mst_685_A_foil.png,L,1792758,1792773,16,935,NaN,2,567
501,1,1_back,22,mst_056_A_l1.png,L,1793103,1793131,29,940,NaN,4,533
501,1,1_back,22,mst_056_A_l1.png,L,1793302,1793326,25,883,NaN,6,478
501,1,1_back,22,mst_056_A_l1.png,L,1793436,1793762,327,801,NaN,7,533
501,1,1_back,22,mst_056_A_l1.png,L,1793971,1793986,16,868,NaN,6,531
501,1,1_back,23,mst_056_A_l1.png,L,1794369,1794403,35,807,NaN,6,544
501,1,1_back,23,mst_056_A_l1.png,L,1794691,1794702,12,977,NaN,0,561
501,1,1_back,23,mst_012_A_foil.png,L,1795888,1795899,12,938,NaN,9,564
501,1,1_back,24,mst_012_A_foil.png,L,1796655,1796669,15,942,NaN,4,543
501,1,1_back,24,mst_012_A_foil.png,L,1798506,1798532,27,928,NaN,4,557
501,1,1_back,24,mst_012_A_foil.png,L,1798787,1798823,37,840,NaN,1,526
501,1,1_back,25,mst_012_A_foil.png,L,1799116,1799141,26,1025,NaN,8,559
501,1,1_back,25,mst_230_A_l2.png,L,1800094,1800112,19,891,NaN,9,544
501,1,1_back,25,mst_230_A_l2.png,L,1800486,1800894,409,934,NaN,3,534
501,1,1_back,26,mst_230_A_l2.png,L,1801538,1801551,14,914,NaN,6,564
501,1,1_back,26,mst_572_A_foil.png,L,1802353,1802383,31,941,NaN,0,551
501,1,1_back,26,mst_572_A_foil.png,L,1802544,1802952,409,923,NaN,5,485
501,1,1_back,26,mst_572_A_foil.png,L,1803245,1803264,20,944,NaN,7,522
501,1,1_back,27,mst_572_A_foil.png,L,1804789,1804807,19,932,NaN,0,502
501,1,1_back,28,mst_572_A_foil.png,L,1805965,1805981,17,948,NaN,8,531
501,1,1_back,28,mst_572_A_foil.png,L,1806253,1806273,21,918,NaN,2,549
501,1,1_back,28,mst_329_A_l2.png,L,1807015,1807426,412,939,NaN,8,479
501,1,1_back,28,mst_329_A_l2.png,L,1807725,1807754,30,952,NaN,7,503
501,1,1_back,29,mst_329_A_l2.png,L,1808257,1808285,29,904,NaN,5,431
501,1,1_back,29,mst_268_A_foil.png,L,1809238,1809255,18,948,NaN,8,537
501,1,1_back,29,mst_268_A_foil.png,L,1809756,1810081,326,982,NaN,6,577
501,1,1_back,30,mst_268_A_foil.png,L,1810681,1810700,20,949,NaN,7,516
501,1,1_back,30,mst_268_A_foil.png,L,1811096,1811119,24,943,NaN,5,570
501,1,1_back,30,mst_268_A_foil.png,L,1811494,1811517,24,925,NaN,5,540
501,1,1_back,31,mst_268_A_foil.png,L,1812717,1812735,19,902,NaN,8,598
501,1,1_back,31,mst_276_A_foil.png,L,1813592,1813607,16,942,NaN,0,590
501,1,1_back,31,mst_276_A_foil.png,L,1813892,1813907,16,913,NaN,2,555
501,1,1_back,32,mst_276_A_foil.png,L,1814754,1814773,20,876,NaN,1,531
501,1,1_back,32,mst_276_A_foil.png,L,1815752,1815789,38,942,NaN,4,543
501,1,1_back,32,mst_276_A_foil.png,L,1816157,1816188,32,1085,NaN,3,472
501,1,1_back,33,mst_276_A_foil.png,L,1816391,1816989,599,915,NaN,4,497
501,1,1_back,33,mst_088_A_l1.png,L,1818020,1818043,24,931,NaN,0,547
501,1,1_back,33,mst_088_A_l1.png,L,1818546,1818595,50,949,NaN,0,512
501,1,1_back,33,mst_088_A_l1.png,L,1818812,1818856,45,819,NaN,6,623
501,1,1_back,33,mst_088_A_l1.png,L,1819040,1819051,12,932,NaN,8,477
501,1,1_back,34,mst_088_A_l1.png,L,1819543,1819557,15,929,NaN,9,488
501,1,1_back,34,mst_026_A_l1.png,L,1820460,1820501,42,952,NaN,1,531
501,1,1_back,34,mst_026_A_l1.png,L,1820980,1821005,26,986,NaN,2,698
501,1,1_back,34,mst_026_A_l1.png,L,1821200,1821242,43,957,NaN,5,633
501,1,1_back,35,mst_026_A_l1.png,L,1821851,1821874,24,945,NaN,0,481
501,1,1_back,35,mst_279_A_l2.png,L,1822634,1822657,24,945,NaN,2,536
501,1,1_back,35,mst_279_A_l2.png,L,1822832,1823366,535,924,NaN,4,613
501,1,1_back,36,mst_279_A_l2.png,L,1824051,1824068,18,912,NaN,1,578
501,1,1_back,36,mst_046_A_l1.png,L,1824980,1825000,21,931,NaN,8,560
501,1,1_back,36,mst_046_A_l1.png,L,1825786,1825805,20,916,NaN,9,515
501,1,1_back,36,mst_046_A_l1.png,L,1826014,1826028,15,950,NaN,6,483
501,1,1_back,37,mst_046_A_l1.png,L,1826412,1826429,18,927,NaN,5,508
501,1,1_back,37,mst_046_B_l1.png,L,1827305,1827338,34,931,NaN,6,529
501,1,1_back,38,mst_046_B_l1.png,L,1828731,1828753,23,955,NaN,4,489
501,1,1_back,38,mst_196_A_l2.png,L,1829783,1829809,27,939,NaN,5,531
501,1,1_back,38,mst_196_A_l2.png,L,1829945,1830303,359,957,NaN,2,468
501,1,1_back,38,mst_196_A_l2.png,L,1830404,1830412,9,952,NaN,9,510
501,1,1_back,38,mst_196_A_l2.png,L,1830699,1830720,22,923,NaN,7,485
501,1,1_back,39,mst_200_A_l2.png,L,1832192,1832234,43,912,NaN,4,444
501,1,1_back,39,mst_200_A_l2.png,L,1832402,1832873,472,914,NaN,9,600
501,1,1_back,39,mst_200_A_l2.png,L,1833236,1833272,37,1032,NaN,9,579
501,1,1_back,40,mst_200_A_l2.png,L,1833657,1833678,22,848,NaN,6,592
501,1,1_back,40,mst_217_A_l2.png,L,1835245,1835264,20,934,NaN,5,565
501,1,1_back,41,mst_217_A_l2.png,L,1835540,1835551,12,884,NaN,3,560
501,1,1_back,41,mst_217_A_l2.png,L,1835693,1835715,23,852,NaN,0,568
501,1,1_back,41,mst_029_A_l1.png,L,1836458,1836878,421,947,NaN,5,578
501,1,1_back,42,mst_029_A_l1.png,L,1837774,1837797,24,947,NaN,6,489
501,1,1_back,42,mst_294_A_foil.png,L,1838544,1838555,12,928,NaN,5,547
501,1,1_back,42,mst_294_A_foil.png,L,1838777,1838806,30,902,NaN,5,557
501,1,1_back,42,mst_294_A_foil.png,L,1839115,1839143,29,965,NaN,4,632
501,1,1_back,42,mst_294_A_foil.png,L,1839409,1839428,20,905,NaN,1,566
501,1,1_back,43,mst_294_A_foil.png,L,1839955,1839979,25,905,NaN,1,508
501,1,1_back,43,mst_294_A_foil.png,L,1841599,1841609,11,907,NaN,1,542
501,1,1_back,44,mst_294_A_foil.png,L,1842187,1842202,16,900,NaN,4,513
501,1,1_back,44,mst_457_A_foil.png,L,1843287,1843304,18,923,NaN,0,536
501,1,1_back,44,mst_457_A_foil.png,L,1843472,1843742,271,951,NaN,3,523
501,1,1_back,44,mst_457_A_foil.png,L,1844202,1844212,11,914,NaN,6,525
501,1,1_back,45,mst_457_A_foil.png,L,1844614,1844622,9,938,NaN,5,518
501,1,1_back,46,mst_457_A_foil.png,L,1846994,1847010,17,945,NaN,3,553
501,1,1_back,46,mst_266_A_l2.png,L,1848008,1848029,22,935,NaN,7,563
501,1,1_back,46,mst_266_A_l2.png,L,1848546,1848564,19,943,NaN,9,616
501,1,1_back,47,mst_266_A_l2.png,L,1849053,1849099,47,949,NaN,6,637
501,1,1_back,47,mst_266_A_l2.png,L,1849339,1849350,12,946,NaN,0,511
501,1,1_back,47,mst_071_A_l1.png,L,1850859,1851132,274,956,NaN,2,546
501,1,1_back,48,mst_071_A_l1.png,L,1851516,1851538,23,901,NaN,9,537
501,1,1_back,48,mst_071_B_l1.png,L,1852785,1852796,12,955,NaN,4,576
501,1,1_back,48,mst_071_B_l1.png,L,1853469,1853482,14,945,NaN,3,543
501,1,1_back,49,mst_071_B_l1.png,L,1853950,1853963,14,934,NaN,2,529
501,1,1_back,49,mst_071_B_l1.png,L,1854593,1854616,24,949,NaN,3,544
501,1,1_back,49,mst_259_A_l2.png,L,1855116,1855474,359,963,NaN,0,526
501,1,1_back,50,mst_259_A_l2.png,L,1856401,1856416,16,950,NaN,3,509
501,1,1_back,50,mst_259_A_l2.png,L,1856919,1856938,20,954,NaN,4,533
501,1,1_back,50,mst_429_A_foil.png,L,1857829,1857851,23,953,NaN,2,497
501,1,1_back,51,mst_429_A_foil.png,L,1858723,1858741,19,987,NaN,5,547
501,1,1_back,51,mst_429_A_foil.png,L,1860117,1860135,19,954,NaN,6,531
501,1,1_back,52,mst_429_A_foil.png,L,1860718,1860736,19,1013,NaN,9,525
501,1,1_back,52,mst_429_A_foil.png,L,1860937,1860950,14,952,NaN,9,528
501,1,1_back,52,mst_429_A_foil.png,L,1861228,1861244,17,971,NaN,0,552
501,1,1_back,52,mst_169_A_l1.png,L,1861481,1861508,28,944,NaN,6,535
501,1,1_back,52,mst_169_A_l1.png,L,1862570,1862605,36,949,NaN,2,427
501,1,1_back,53,mst_169_A_l1.png,L,1862789,1862803,15,982,NaN,4,540
501,1,1_back,53,mst_169_A_l1.png,L,1863316,1863341,26,957,NaN,3,536
501,1,1_back,53,mst_154_A_l1.png,L,1864034,1864448,415,937,NaN,6,483
501,1,1_back,54,mst_154_A_l1.png,L,1865408,1865413,6,960,NaN,9,587
501,1,1_back,54,mst_154_B_l1.png,L,1866872,1866892,21,928,NaN,8,566
501,1,1_back,55,mst_154_B_l1.png,L,1867531,1867554,24,1038,NaN,7,558
501,1,1_back,55,mst_188_A_l2.png,L,1868668,1868696,29,938,NaN,5,550
501,1,1_back,55,mst_188_A_l2.png,L,1868882,1868904,23,1016,NaN,7,498
501,1,1_back,55,mst_188_A_l2.png,L,1869265,1869303,39,1103,NaN,9,454
501,1,1_back,55,mst_188_A_l2.png,L,1869612,1869641,30,952,NaN,7,627
501,1,1_back,56,mst_188_A_l2.png,L,1870004,1870010,7,984,NaN,6,535
501,1,1_back,56,mst_188_A_l2.png,L,1870586,1870608,23,968,NaN,4,537
501,1,1_back,56,mst_188_B_l2.png,L,1871101,1871124,24,977,NaN,5,483
501,1,1_back,56,mst_188_B_l2.png,L,1871389,1871437,49,1059,NaN,5,453
501,1,1_back,56,mst_188_B_l2.png,L,1871681,1871711,31,917,NaN,0,668
501,1,1_back,57,mst_188_B_l2.png,L,1872154,1872452,299,1008,NaN,8,483
501,1,1_back,57,mst_188_B_l2.png,L,1872607,1872640,34,1041,NaN,1,415
501,1,1_back,57,mst_067_A_foil.png,L,1873231,1873531,301,928,NaN,5,502
501,1,1_back,57,mst_067_A_foil.png,L,1873605,1873644,40,929,NaN,3,558
501,1,1_back,57,mst_067_A_foil.png,L,1874013,1874038,26,1043,NaN,2,622
501,1,1_back,58,mst_067_A_foil.png,L,1874553,1874565,13,913,NaN,1,575
501,1,1_back,59,mst_067_A_foil.png,L,1876256,1876653,398,944,NaN,2,568
501,1,1_back,59,mst_067_A_foil.png,L,1876791,1876816,26,895,NaN,3,496
501,1,1_back,59,mst_289_A_l2.png,L,1877436,1877478,43,951,NaN,6,569
501,1,1_back,59,mst_289_A_l2.png,L,1877630,1877648,19,958,NaN,0,431
501,1,1_back,59,mst_289_A_l2.png,L,1878009,1878032,24,960,NaN,9,476
501,1,1_back,59,mst_289_A_l2.png,L,1878227,1878253,27,913,NaN,7,524
501,1,1_back,59,mst_289_A_l2.png,L,1878462,1878507,46,824,NaN,2,582
501,1,1_back,60,mst_289_A_l2.png,L,1878848,1878890,43,972,NaN,4,448
501,1,1_back,60,mst_289_B_l2.png,L,1879665,1879706,42,973,NaN,3,546
501,1,1_back,60,mst_289_B_l2.png,L,1880145,1880190,46,964,NaN,6,434
501,1,1_back,60,mst_289_B_l2.png,L,1880477,1880482,6,1077,NaN,4,551
501,1,1_back,61,mst_289_B_l2.png,L,1880820,1880929,110,1059,NaN,6,571
501,1,1_back,61,mst_289_B_l2.png,L,1881098,1881128,31,891,NaN,7,500
501,1,1_back,61,mst_289_B_l2.png,L,1881173,1881503,331,902,NaN,3,609
501,1,1_back,61,mst_350_A_l2.png,L,1881984,1882021,38,941,NaN,8,501
501,1,1_back,61,mst_350_A_l2.png,L,1882607,1882648,42,962,NaN,0,461
501,1,1_back,61,mst_350_A_l2.png,L,1882886,1882926,41,924,NaN,9,599
501,1,1_back,62,mst_350_A_l2.png,L,1883518,1883531,14,957,NaN,5,482
501,1,1_back,62,mst_350_B_l2.png,L,1884681,1884693,13,963,NaN,8,496
501,1,1_back,62,mst_350_B_l2.png,L,1884885,1885444,560,996,NaN,1,501
501,1,1_back,63,mst_350_B_l2.png,L,1885730,1885747,18,928,NaN,6,456
501,1,1_back,63,mst_243_A_foil.png,L,1886472,1886481,10,966,NaN,2,518
501,1,1_back,64,mst_243_A_foil.png,L,1887947,1887966,20,936,NaN,2,520
501,1,1_back,64,mst_243_A_foil.png,L,1888109,1888117,9,970,NaN,6,543
501,1,1_back,64,mst_243_A_foil.png,L,1888846,1888875,30,961,NaN,2,578
501,1,1_back,64,mst_243_A_foil.png,L,1889254,1889302,49,1021,NaN,7,646
501,1,1_back,64,mst_243_A_foil.png,L,1889726,1889737,12,933,NaN,9,486
501,1,1_back,65,mst_243_A_foil.png,L,1890078,1890089,12,952,NaN,0,523
501,1,1_back,66,mst_234_A_l2.png,L,1892592,1892609,18,957,NaN,3,582
501,1,1_back,66,mst_234_B_l2.png,L,1893414,1893437,24,957,NaN,9,563
501,1,1_back,67,mst_234_B_l2.png,L,1893633,1894822,1190,1038,NaN,2,607
501,1,1_back,67,mst_163_A_l1.png,L,1895749,1895776,28,946,NaN,3,560
501,1,1_back,67,mst_163_A_l1.png,L,1896323,1896340,18,1030,NaN,3,643
501,1,1_back,67,mst_163_A_l1.png,L,1896631,1896661,31,973,NaN,1,623
501,1,1_back,68,mst_163_A_l1.png,L,1897099,1897107,9,1020,NaN,1,633
501,1,1_back,68,mst_163_A_l1.png,L,1897334,1897358,25,997,NaN,9,625
501,1,1_back,68,mst_217_B_l2.png,L,1898055,1898072,18,961,NaN,5,591
501,1,1_back,68,mst_217_B_l2.png,L,1898651,1898672,22,974,NaN,3,583
501,1,1_back,68,mst_217_B_l2.png,L,1898993,1899016,24,869,NaN,0,574
501,1,1_back,69,mst_217_B_l2.png,L,1899355,1899366,12,928,NaN,3,540
501,1,1_back,69,mst_074_A_l1.png,L,1900875,1900890,16,972,NaN,7,577
501,1,1_back,70,mst_074_A_l1.png,L,1901523,1901541,19,911,NaN,7,557
501,1,1_back,70,mst_219_A_l2.png,L,1902479,1902507,29,960,NaN,5,542
501,1,1_back,70,mst_219_A_l2.png,L,1902724,1903079,356,1083,NaN,4,598
501,1,1_back,71,mst_219_A_l2.png,L,1903858,1903875,18,983,NaN,4,520
501,1,1_back,71,mst_127_A_l1.png,L,1905010,1905038,29,970,NaN,9,547
501,1,1_back,71,mst_127_A_l1.png,L,1905407,1905436,30,936,NaN,8,459
501,1,1_back,71,mst_127_A_l1.png,L,1905694,1905721,28,990,NaN,0,522
501,1,1_back,72,mst_127_A_l1.png,L,1905970,1906254,285,959,NaN,4,603
501,1,1_back,72,mst_127_A_l1.png,L,1906786,1906810,25,959,NaN,9,462
501,1,1_back,72,mst_127_B_l1.png,L,1907401,1907424,24,973,NaN,6,547
501,1,1_back,72,mst_127_B_l1.png,L,1908030,1908075,46,964,NaN,1,629
501,1,1_back,72,mst_127_B_l1.png,L,1908282,1908328,47,1025,NaN,7,507
501,1,1_back,73,mst_127_B_l1.png,L,1908626,1909407,782,978,NaN,8,671
501,1,1_back,73,mst_026_B_l1.png,L,1909869,1909905,37,959,NaN,9,532
