subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur,sx,sy,ex,ey
614,1,1_back,1,NA,L,480835,480861,27,951,NaN,3,499
614,1,1_back,1,NA,L,481056,481073,18,929,NaN,4,499
614,1,1_back,1,NA,L,481288,481305,18,964,NaN,4,507
614,1,1_back,1,mst_309_A_l2.png,L,482156,482179,24,984,NaN,9,553
614,1,1_back,1,mst_309_A_l2.png,L,482513,482536,24,903,NaN,5,603
614,1,1_back,2,mst_309_A_l2.png,L,483373,483525,153,962,NaN,9,512
614,1,1_back,2,mst_098_A_foil.png,L,483961,484169,209,953,NaN,9,523
614,1,1_back,2,mst_098_A_foil.png,L,484727,484757,31,970,NaN,0,534
614,1,1_back,2,mst_098_A_foil.png,L,485311,485344,34,1075,NaN,3,567
614,1,1_back,3,mst_098_A_foil.png,L,485721,486051,331,944,NaN,0,496
614,1,1_back,3,mst_098_A_foil.png,L,486208,486235,28,998,NaN,1,538
614,1,1_back,3,mst_098_A_foil.png,L,486925,487047,123,984,NaN,2,558
614,1,1_back,3,mst_098_A_foil.png,L,487759,487775,17,992,NaN,1,539
614,1,1_back,4,mst_098_A_foil.png,L,488040,488067,28,992,NaN,7,497
614,1,1_back,4,mst_175_A_l1.png,L,488652,488679,28,957,NaN,2,527
614,1,1_back,4,mst_175_A_l1.png,L,489025,489063,39,972,NaN,6,440
614,1,1_back,4,mst_175_A_l1.png,L,489312,489327,16,970,NaN,3,606
614,1,1_back,4,mst_175_A_l1.png,L,489596,489802,207,982,NaN,7,577
614,1,1_back,5,mst_175_A_l1.png,L,490265,490271,7,960,NaN,1,520
614,1,1_back,5,mst_175_B_l1.png,L,491090,491118,29,972,NaN,6,495
614,1,1_back,5,mst_175_B_l1.png,L,491557,491573,17,956,NaN,3,528
614,1,1_back,6,mst_175_B_l1.png,L,492622,492636,15,972,NaN,8,484
614,1,1_back,6,mst_008_A_l1.png,L,494079,494180,102,977,NaN,5,524
614,1,1_back,7,mst_008_A_l1.png,L,494702,494713,12,961,NaN,6,523
614,1,1_back,7,mst_207_A_l2.png,L,495331,495366,36,981,NaN,0,515
614,1,1_back,7,mst_207_A_l2.png,L,495488,495520,33,947,NaN,2,435
614,1,1_back,7,mst_207_A_l2.png,L,495790,495840,51,942,NaN,2,406
614,1,1_back,7,mst_207_A_l2.png,L,496056,496102,47,1004,NaN,8,605
614,1,1_back,8,mst_207_A_l2.png,L,496767,496795,29,963,NaN,2,447
614,1,1_back,8,mst_207_A_l2.png,L,496980,497002,23,971,NaN,4,543
614,1,1_back,8,mst_207_B_l2.png,L,497675,497698,24,978,NaN,5,496
614,1,1_back,8,mst_207_B_l2.png,L,497835,497859,25,973,NaN,8,433
614,1,1_back,8,mst_207_B_l2.png,L,498362,498385,24,994,NaN,4,408
614,1,1_back,8,mst_207_B_l2.png,L,498722,498760,39,959,NaN,0,476
614,1,1_back,9,mst_207_B_l2.png,L,498996,499020,25,824,NaN,9,532
614,1,1_back,9,mst_207_B_l2.png,L,499304,499334,31,985,NaN,0,438
614,1,1_back,9,mst_121_A_l1.png,L,499876,499897,22,963,NaN,3,518
614,1,1_back,9,mst_121_A_l1.png,L,500223,500262,40,972,NaN,2,459
614,1,1_back,9,mst_121_A_l1.png,L,500625,500640,16,905,NaN,5,555
614,1,1_back,9,mst_121_A_l1.png,L,500799,500811,13,953,NaN,8,520
614,1,1_back,9,mst_121_A_l1.png,L,501191,501199,9,987,NaN,2,492
614,1,1_back,10,mst_109_A_l1.png,L,501639,501968,330,1008,NaN,1,475
614,1,1_back,10,mst_109_A_l1.png,L,502190,502220,31,999,NaN,6,479
614,1,1_back,10,mst_109_A_l1.png,L,502956,503191,236,970,NaN,5,524
614,1,1_back,11,mst_109_A_l1.png,L,503437,503457,21,937,NaN,8,475
