subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur,x,y,pupil
608,1,1_back,1,mst_593_A_foil.png,L,16486756,16488032,1277,931,473,7546
608,1,1_back,1,mst_593_A_foil.png,L,16488047,16488218,172,911.3,454.6,7191
608,1,1_back,1,mst_593_A_foil.png,L,16488449,16488560,112,920.9,443.3,5884
608,1,1_back,1,mst_593_A_foil.png,L,16488569,16488767,199,898.2,439.4,5900
608,1,1_back,1,mst_593_A_foil.png,L,16488787,16488974,188,951.6,463,6049
608,1,1_back,1,mst_593_A_foil.png,L,16489277,16489400,124,1067.6,488.2,6296
608,1,1_back,2,mst_593_A_foil.png,L,16489424,16489615,192,949.8,450.1,6497
608,1,1_back,2,mst_593_A_foil.png,L,16489976,16490139,164,975,834.4,5924
608,1,1_back,2,mst_593_A_foil.png,L,16490148,16490802,655,985.1,734.8,6403
608,1,1_back,2,mst_593_A_foil.png,L,16490823,16491222,400,927.7,596.1,5647
608,1,1_back,2,mst_593_A_foil.png,L,16491238,16491518,281,994.4,644.9,5998
608,1,1_back,3,mst_593_A_foil.png,L,16491540,16491944,405,983.4,768.4,6619
608,1,1_back,3,mst_593_A_foil.png,L,16491973,16492153,181,966.8,592.9,6515
608,1,1_back,3,mst_593_A_foil.png,L,16492170,16492219,50,976.8,624.4,6591
608,1,1_back,3,mst_323_A_l2.png,L,16492545,16492793,249,967.2,734.2,6811
608,1,1_back,3,mst_323_A_l2.png,L,16492814,16493058,245,1001.9,682.9,6530
608,1,1_back,3,mst_323_A_l2.png,L,16493075,16493471,397,1055.7,672.2,5802
608,1,1_back,3,mst_323_A_l2.png,L,16493479,16493743,265,1030,644.6,5815
608,1,1_back,4,mst_323_A_l2.png,L,16493756,16494308,553,973,632.8,5893
608,1,1_back,4,mst_323_B_l2.png,L,16494671,16494913,243,995.6,766.1,6196
608,1,1_back,4,mst_323_B_l2.png,L,16494935,16496103,1169,1081.5,660.8,5845
