subj_id,block,task,trial_id,stim_id,eye,onset,offset,dur,sx,sy,ex,ey
611,1,1_back,1,NA,L,1535661,1536106,446,978,NaN,0,552
611,1,1_back,1,NA,L,1536213,1536229,17,1011,NaN,4,527
611,1,1_back,1,mst_097_A_l1.png,L,1536588,1536621,34,991,NaN,5,545
611,1,1_back,1,mst_097_A_l1.png,L,1537212,1537417,206,969,NaN,1,422
611,1,1_back,1,mst_097_A_l1.png,L,1537629,1537635,7,976,NaN,0,410
611,1,1_back,2,mst_097_A_l1.png,L,1538192,1538224,33,979,NaN,3,398
611,1,1_back,2,mst_097_A_l1.png,L,1538408,1538416,9,974,NaN,4,530
611,1,1_back,2,mst_097_B_l1.png,L,1538795,1538823,29,991,NaN,9,520
611,1,1_back,2,mst_097_B_l1.png,L,1539544,1539565,22,994,NaN,5,412
611,1,1_back,3,mst_097_B_l1.png,L,1540242,1540267,26,1001,NaN,0,470
611,1,1_back,3,mst_312_A_foil.png,L,1541048,1541071,24,978,NaN,6,543
611,1,1_back,3,mst_312_A_foil.png,L,1541305,1541319,15,965,NaN,9,493
611,1,1_back,3,mst_312_A_foil.png,L,1541518,1541762,245,923,NaN,9,477
611,1,1_back,3,mst_312_A_foil.png,L,1541951,1541967,17,975,NaN,9,449
611,1,1_back,4,mst_312_A_foil.png,L,1542478,1542506,29,939,NaN,5,461
611,1,1_back,4,mst_312_A_foil.png,L,1542745,1542756,12,979,NaN,8,531
611,1,1_back,4,mst_312_A_foil.png,L,1543003,1543022,20,1016,NaN,8,504
611,1,1_back,4,mst_312_A_foil.png,L,1543543,1543556,14,979,NaN,5,470
611,1,1_back,4,mst_312_A_foil.png,L,1544004,1544021,18,936,NaN,2,484
611,1,1_back,4,mst_312_A_foil.png,L,1544267,1544282,16,991,NaN,4,468
611,1,1_back,5,mst_312_A_foil.png,L,1544613,1544629,17,936,NaN,4,450
611,1,1_back,5,mst_312_A_foil.png,L,1544771,1544796,26,986,NaN,8,450
611,1,1_back,5,mst_312_A_foil.png,L,1545029,1545057,29,952,NaN,3,539
611,1,1_back,5,mst_102_A_l1.png,L,1545314,1545334,21,986,NaN,6,466
611,1,1_back,5,mst_102_A_l1.png,L,1545553,1545785,233,1001,NaN,9,527
611,1,1_back,5,mst_102_A_l1.png,L,1546322,1546341,20,1002,NaN,1,519
611,1,1_back,6,mst_102_A_l1.png,L,1546853,1546875,23,907,NaN,0,490
611,1,1_back,6,mst_102_A_l1.png,L,1547118,1547132,15,983,NaN,2,498
611,1,1_back,6,mst_136_A_l1.png,L,1547576,1547582,7,1012,NaN,4,508
611,1,1_back,6,mst_136_A_l1.png,L,1547795,1547815,21,1033,NaN,0,530
611,1,1_back,6,mst_136_A_l1.png,L,1548089,1548117,29,1040,NaN,3,573
