eye,onset,offset,duration,x,y,pupil_size,trial_id,task,stim_id
L,31306495,31308658,2164,945.7,540,5054,1,1_back,mst_178_A_l1.png
L,31308673,31309361,689,914.9,530.6,4638,1,1_back,mst_178_A_l1.png
L,31309373,31311631,2259,942.3,529,4406,2,1_back,mst_178_B_l1.png
L,31311649,31312474,826,912.7,488.3,4563,3,1_back,mst_075_A_l1.png
L,31312488,31313416,929,928.8,505.8,4974,3,1_back,mst_075_A_l1.png
L,31313433,31313608,176,974.9,526.5,4819,3,1_back,mst_075_A_l1.png
L,31313801,31316008,2208,957.8,545.3,4613,4,1_back,mst_199_A_l2.png
L,31316015,31316717,703,965.7,515.6,3828,4,1_back,mst_199_A_l2.png
L,31316726,31316999,274,952.3,526.3,3864,5,1_back,mst_215_A_l2.png
L,31317150,31318032,883,956.8,528.3,3987,5,1_back,mst_215_A_l2.png
L,31318040,31318402,363,988.2,531.4,3871,5,1_back,mst_215_A_l2.png
L,31318417,31320290,1874,953.7,536,4384,6,1_back,mst_215_B_l2.png
L,31320303,31320494,192,1007.5,544.9,4071,6,1_back,mst_215_B_l2.png
L,31320514,31320945,432,952,557.9,4224,6,1_back,mst_215_B_l2.png
L,31320952,31322350,1399,954.3,538.5,4451,7,1_back,mst_265_A_l2.png
L,31322366,31322539,174,982,528,4397,7,1_back,mst_265_A_l2.png
L,31322737,31323133,397,995.9,532,3884,7,1_back,mst_265_A_l2.png
L,31323153,31323754,602,967.5,502,3947,8,1_back,mst_760_A_foil.png
L,31323768,31324635,868,972,533.2,4442,8,1_back,mst_760_A_foil.png
L,31324657,31325189,533,1035.3,537.5,3991,8,1_back,mst_760_A_foil.png
L,31325204,31325668,465,981.2,554.7,3859,8,1_back,mst_760_A_foil.png
L,31325690,31326084,395,1017.2,510.9,4042,9,1_back,mst_760_A_foil.png
L,31326101,31327154,1054,979.1,535.1,4478,9,1_back,mst_760_A_foil.png
L,31327168,31327504,337,1028,538.6,4020,9,1_back,mst_760_A_foil.png
L,31327519,31327789,271,974.6,551.7,3881,9,1_back,mst_760_A_foil.png
L,31327802,31328172,371,1017.8,541,3915,9,1_back,mst_760_A_foil.png
L,31328191,31329181,991,966.9,534.6,3953,10,1_back,mst_579_A_foil.png
L,31329396,31329577,182,941.2,528.4,3709,10,1_back,mst_579_A_foil.png
L,31329590,31329997,408,972.5,523.1,3608,10,1_back,mst_579_A_foil.png
L,31330012,31330338,327,944.8,528.6,3513,10,1_back,mst_579_A_foil.png
L,31330345,31330642,298,974.9,514.8,3540,11,1_back,mst_579_A_foil.png
L,31330652,31331490,839,956.2,508.4,3430,11,1_back,mst_579_A_foil.png
L,31331506,31331839,334,1028.4,529.7,3350,11,1_back,mst_579_A_foil.png
L,31331857,31333467,1611,973.3,539.3,3959,12,1_back,mst_355_A_l2.png
L,31333492,31333657,166,854.7,529.6,4191,12,1_back,mst_355_A_l2.png
L,31333672,31333857,186,801.9,503.2,3729,12,1_back,mst_355_A_l2.png
L,31334055,31334319,265,802.6,482.3,3686,12,1_back,mst_355_A_l2.png
L,31334335,31334731,397,850.7,496.8,3735,13,1_back,mst_458_A_foil.png
L,31334750,31335114,365,925.6,542,3893,13,1_back,mst_458_A_foil.png
L,31335138,31336012,875,952.5,531.8,4374,13,1_back,mst_458_A_foil.png
L,31336033,31336243,211,991.7,541.9,4051,13,1_back,mst_458_A_foil.png
L,31336264,31337041,778,978.1,572.2,3866,13,1_back,mst_458_A_foil.png
L,31337055,31338239,1185,965.3,547,4144,14,1_back,mst_458_A_foil.png
L,31338248,31338437,190,996.2,561.8,3763,14,1_back,mst_458_A_foil.png
L,31338449,31338975,527,972.6,589,3796,14,1_back,mst_458_A_foil.png
L,31338987,31339176,190,972.2,561.6,3884,14,1_back,mst_458_A_foil.png
L,31339197,31339310,114,972.1,505.9,3917,15,1_back,mst_013_A_l1.png
L,31339535,31340233,699,982.3,519.3,4059,15,1_back,mst_013_A_l1.png
L,31340249,31340660,412,972.2,535.6,4166,15,1_back,mst_013_A_l1.png
L,31340677,31341104,428,1021.1,544.2,3874,15,1_back,mst_013_A_l1.png
L,31341118,31341615,498,979.8,549.1,3914,15,1_back,mst_013_A_l1.png
L,31341810,31343387,1578,971.6,529.8,4137,16,1_back,mst_362_A_foil.png
L,31343599,31344396,798,953.5,538.9,3876,17,1_back,mst_362_A_foil.png
L,31344410,31345787,1378,966.6,541.4,4059,17,1_back,mst_362_A_foil.png
L,31345798,31346036,239,999.1,548.7,3942,17,1_back,mst_362_A_foil.png
L,31346051,31347837,1787,970.8,534,4081,18,1_back,mst_017_A_l1.png
L,31348060,31350157,2098,969.6,532,4251,19,1_back,mst_721_A_foil.png
L,31350180,31350957,778,959.2,433.1,3775,19,1_back,mst_721_A_foil.png
L,31350977,31351237,261,948.6,485.6,3892,20,1_back,mst_721_A_foil.png
L,31351252,31360460,9209,964.8,521.9,4392,24,1_back,mst_545_A_foil.png
L,31360486,31360853,368,949.1,550.7,4950,24,1_back,mst_545_A_foil.png
L,31361073,31361244,172,971.5,526.6,4362,24,1_back,mst_545_A_foil.png
L,31361263,31361867,605,938.9,502.3,4515,24,1_back,mst_545_A_foil.png
L,31361880,31362276,397,902,488.9,4592,25,1_back,mst_545_A_foil.png
L,31362295,31362497,203,942.2,523.1,4612,25,1_back,mst_545_A_foil.png
L,31362516,31363297,782,938.6,521.2,4678,25,1_back,mst_545_A_foil.png
L,31363314,31363491,178,918,496.7,4611,25,1_back,mst_545_A_foil.png
L,31363506,31363947,442,941.5,505.6,4462,25,1_back,mst_545_A_foil.png
L,31363970,31364448,479,908.7,475,4492,25,1_back,mst_545_A_foil.png
L,31364458,31364728,271,942.1,467.2,4148,26,1_back,mst_279_A_foil.png
L,31364743,31365620,878,937.9,498.4,4238,26,1_back,mst_279_A_foil.png
L,31365631,31365761,131,969.2,518.5,4223,26,1_back,mst_279_A_foil.png
L,31366008,31366682,675,963.6,508.7,3838,26,1_back,mst_279_A_foil.png
L,31366696,31367149,454,945.3,511.7,3692,27,1_back,mst_279_A_foil.png
L,31367167,31367281,115,1009.1,523.4,3722,27,1_back,mst_279_A_foil.png
L,31367301,31367779,479,963.7,532.3,3972,27,1_back,mst_279_A_foil.png
L,31367796,31368043,248,993.9,567.3,3729,27,1_back,mst_279_A_foil.png
L,31368057,31368400,344,959.4,586.8,3669,27,1_back,mst_279_A_foil.png
L,31368411,31368827,417,956.9,541.9,3587,27,1_back,mst_279_A_foil.png
L,31369053,31370247,1195,966.8,533.3,3940,28,1_back,mst_216_A_l2.png
L,31370272,31370744,473,1053.9,479.9,3448,28,1_back,mst_216_A_l2.png
L,31370761,31370913,153,992.1,489.9,3395,28,1_back,mst_216_A_l2.png
L,31371113,31372316,1204,962.1,527.9,3828,29,1_back,mst_153_A_l1.png
L,31372327,31372521,195,954.8,497.7,4011,29,1_back,mst_153_A_l1.png
L,31372730,31373426,697,966.6,514.8,3917,29,1_back,mst_153_A_l1.png
L,31373447,31373837,391,972.9,521.4,4090,30,1_back,mst_377_A_foil.png
L,31373845,31374406,562,965.7,520.4,4287,30,1_back,mst_377_A_foil.png
L,31374419,31374596,178,973.3,545.1,4057,30,1_back,mst_377_A_foil.png
L,31374614,31374801,188,917.9,571.9,3945,30,1_back,mst_377_A_foil.png
L,31375022,31375141,120,1023.3,628.9,3831,30,1_back,mst_377_A_foil.png
L,31375161,31375341,181,1070,675.2,3871,30,1_back,mst_377_A_foil.png
L,31375362,31375569,208,992.3,638.6,3791,31,1_back,mst_377_A_foil.png
L,31375589,31375754,166,909.4,646.6,3746,31,1_back,mst_377_A_foil.png
L,31375782,31376646,865,945.8,551.9,4092,31,1_back,mst_377_A_foil.png
L,31376670,31376979,310,865.5,586.4,4002,31,1_back,mst_377_A_foil.png
L,31377011,31377260,250,1065.1,674.6,3958,31,1_back,mst_377_A_foil.png
L,31377270,31377436,167,1044.4,661.5,3930,31,1_back,mst_377_A_foil.png
L,31377463,31378181,719,971.3,522,3883,32,1_back,mst_293_A_l2.png
L,31378198,31379127,930,964.9,546.3,4249,32,1_back,mst_293_A_l2.png
L,31379144,31379383,240,1023.1,553.8,3686,32,1_back,mst_293_A_l2.png
L,31379578,31381387,1810,964,549.6,3943,33,1_back,mst_525_A_foil.png
