trial_id,task,stim_id,stim_onset_time,n_fixations,n_saccades,n_blinks
1,1_back,mst_178_A_l1.png,31308463,2,2,0
2,1_back,mst_178_B_l1.png,31310748,1,1,0
3,1_back,mst_075_A_l1.png,31313115,3,3,1
4,1_back,mst_199_A_l2.png,31315233,2,2,0
5,1_back,mst_215_A_l2.png,31317429,3,3,1
6,1_back,mst_215_B_l2.png,31319639,3,3,0
7,1_back,mst_265_A_l2.png,31322038,3,3,1
8,1_back,mst_760_A_foil.png,31324352,4,4,0
9,1_back,mst_760_A_foil.png,31326805,5,5,0
10,1_back,mst_579_A_foil.png,31328857,4,4,1
11,1_back,mst_579_A_foil.png,31330897,3,3,0
12,1_back,mst_355_A_l2.png,31333205,4,4,1
13,1_back,mst_458_A_foil.png,31335692,5,5,0
14,1_back,mst_458_A_foil.png,31337784,4,4,0
15,1_back,mst_013_A_l1.png,31340251,5,4,2
16,1_back,mst_362_A_foil.png,31342637,1,2,1
17,1_back,mst_362_A_foil.png,31344759,3,3,0
18,1_back,mst_017_A_l1.png,31347110,1,1,1
19,1_back,mst_721_A_foil.png,31349488,2,2,0
20,1_back,mst_721_A_foil.png,31351638,1,1,0
21,1_back,mst_365_A_foil.png,31353945,0,0,0
22,1_back,mst_365_A_foil.png,31356119,0,0,0
23,1_back,mst_295_A_l2.png,31358251,0,0,0
24,1_back,mst_545_A_foil.png,31360547,4,4,1
25,1_back,mst_545_A_foil.png,31362995,6,6,0
26,1_back,mst_279_A_foil.png,31365293,4,4,1
27,1_back,mst_279_A_foil.png,31367447,6,5,0
28,1_back,mst_216_A_l2.png,31369678,3,4,2
29,1_back,mst_153_A_l1.png,31371984,3,3,1
30,1_back,mst_377_A_foil.png,31374047,6,6,1
31,1_back,mst_377_A_foil.png,31376277,6,6,0
32,1_back,mst_293_A_l2.png,31378667,3,3,1
33,1_back,mst_525_A_foil.png,31381026,4,4,0
34,1_back,mst_525_A_foil.png,31383368,1,1,0
35,1_back,mst_111_A_l1.png,31385833,5,5,1
36,1_back,mst_293_B_l2.png,31387897,4,4,0
37,1_back,mst_119_A_l1.png,31389926,3,3,0
38,1_back,mst_345_A_l2.png,31392376,0,0,0
39,1_back,mst_345_B_l2.png,31394727,2,2,0
