eye,onset,offset,duration,trial_id,task,stim_id
L,31313633,31313724,92,3,1_back,mst_075_A_l1.png
L,31317019,31317104,86,5,1_back,mst_215_A_l2.png
L,31322564,31322679,116,7,1_back,mst_265_A_l2.png
L,31329206,31329334,129,10,1_back,mst_579_A_foil.png
L,31333876,31333996,121,12,1_back,mst_355_A_l2.png
L,31339341,31339458,118,15,1_back,mst_013_A_l1.png
L,31341635,31341749,115,15,1_back,mst_013_A_l1.png
L,31343416,31343549,134,16,1_back,mst_362_A_foil.png
L,31347861,31347999,139,18,1_back,mst_017_A_l1.png
L,31360884,31361004,121,24,1_back,mst_545_A_foil.png
L,31365784,31365949,166,26,1_back,mst_279_A_foil.png
L,31368849,31368990,142,28,1_back,mst_216_A_l2.png
L,31370935,31371076,142,28,1_back,mst_216_A_l2.png
L,31372542,31372670,129,29,1_back,mst_153_A_l1.png
L,31374822,31374964,143,30,1_back,mst_377_A_foil.png
L,31379406,31379513,108,32,1_back,mst_293_A_l2.png
L,31386450,31386599,150,35,1_back,mst_111_A_l1.png
L,31397482,31397629,148,40,1_back,mst_710_A_foil.png
L,31404674,31404808,135,43,1_back,mst_153_B_l1.png
L,31410470,31410628,159,46,1_back,mst_636_A_foil.png
L,31415376,31415541,166,48,1_back,mst_173_A_l1.png
L,31423425,31423556,132,52,1_back,mst_124_A_l1.png
L,31427425,31427533,109,53,1_back,mst_249_A_foil.png
L,31434043,31434174,132,56,1_back,mst_563_A_foil.png
L,31447180,31447355,176,62,1_back,mst_628_A_foil.png
L,31451955,31452111,157,64,1_back,mst_358_B_l2.png
L,31458098,31458224,127,67,1_back,mst_138_B_l1.png
L,31465605,31465729,125,70,1_back,mst_284_B_l2.png
L,31471823,31471957,135,73,1_back,mst_055_A_l1.png
L,31478507,31478648,142,76,1_back,mst_219_A_l2.png
L,31482657,31482775,119,78,1_back,mst_026_A_l1.png
L,31486392,31486507,116,80,1_back,mst_075_B_l1.png
L,31490077,31490224,148,81,1_back,mst_199_B_l2.png
L,31492075,31492209,135,82,1_back,mst_059_A_l1.png
L,31496786,31496954,169,84,1_back,mst_256_A_foil.png
L,31503103,31503313,211,87,1_back,mst_017_B_l1.png
L,31512076,31512223,148,91,1_back,mst_124_B_l1.png
L,31512584,31512802,219,91,1_back,mst_124_B_l1.png
L,31519224,31519365,142,94,1_back,mst_112_A_l1.png
L,31523338,31523496,159,96,1_back,mst_013_B_l1.png
L,31525586,31525717,132,97,1_back,mst_123_A_l1.png
L,31532960,31533130,171,100,1_back,mst_225_B_l2.png
L,31538639,31538801,163,103,1_back,mst_108_A_l1.png
L,31543496,31543609,114,105,1_back,mst_164_A_l1.png
L,31549908,31550026,119,107,1_back,mst_629_A_foil.png
L,31560470,31560653,184,112,1_back,mst_287_B_l2.png
L,31563211,31563416,206,113,1_back,mst_173_B_l1.png
L,31565467,31565624,158,114,1_back,mst_194_A_l2.png
L,31567171,31567343,173,115,1_back,mst_074_B_l1.png
L,31568105,31568280,176,116,1_back,mst_601_A_foil.png
L,31569352,31569488,137,116,1_back,mst_601_A_foil.png
L,31570518,31570682,165,117,1_back,mst_601_A_foil.png
L,31576687,31576797,111,119,1_back,mst_349_B_l2.png
L,31580965,31581087,123,121,1_back,mst_201_B_l2.png
L,31586637,31586785,149,124,1_back,mst_208_A_l2.png
L,31589986,31590150,165,125,1_back,mst_265_B_l2.png
L,31600833,31600984,152,130,1_back,mst_311_A_foil.png
L,31608565,31608722,158,133,1_back,mst_002_A_l1.png
L,31615776,31615927,152,136,1_back,mst_264_A_l2.png
L,31618033,31618168,136,137,1_back,mst_264_B_l2.png
L,31626503,31626675,173,141,1_back,mst_053_A_l1.png
L,31635061,31635219,159,145,1_back,mst_352_B_l2.png
L,31642125,31642267,143,148,1_back,mst_050_A_l1.png
L,31649487,31649585,99,151,1_back,mst_111_A_foil.png
L,31653250,31653384,135,153,1_back,mst_149_A_l1.png
L,31655826,31655977,152,154,1_back,mst_149_B_l1.png
L,31662261,31662430,170,157,1_back,mst_194_B_l2.png
L,31669217,31669369,153,160,1_back,mst_062_B_l1.png
L,31674779,31674837,59,163,1_back,mst_346_B_l2.png
L,31680308,31680459,152,165,1_back,mst_157_B_l1.png
L,31684771,31685220,450,167,1_back,mst_101_B_l1.png
L,31698507,31698675,169,173,1_back,mst_295_B_l2.png
L,31703545,31703738,194,175,1_back,mst_469_A_foil.png
L,31704079,31704194,116,176,1_back,mst_053_B_l1.png
L,31707936,31708134,199,177,1_back,mst_276_A_l2.png
L,31713947,31714054,108,180,1_back,mst_083_B_l1.png
L,31825998,31826086,89,2,2_back,mst_672_A_foil.png
L,31833342,31833434,93,5,2_back,mst_235_A_l2.png
L,31837507,31837620,114,7,2_back,mst_044_A_l1.png
L,31846299,31846405,107,11,2_back,mst_002_A_l1.png
L,31854872,31854968,97,15,2_back,mst_062_A_l1.png
L,31864024,31864150,127,19,2_back,mst_260_A_l2.png
L,31875107,31875210,104,24,2_back,mst_092_A_l1.png
L,31884081,31884181,101,28,2_back,mst_124_A_l1.png
L,31894944,31895032,89,33,2_back,mst_221_A_l2.png
L,31901825,31901939,115,36,2_back,mst_074_A_l1.png
L,31910946,31911053,108,40,2_back,mst_255_A_l2.png
L,31920048,31920156,109,44,2_back,mst_083_A_l1.png
L,31927871,31928002,132,48,2_back,mst_112_A_l1.png
L,31937432,31937566,135,52,2_back,mst_276_A_l2.png
L,31946205,31946311,107,56,2_back,mst_161_A_l1.png
L,31964227,31964354,128,64,2_back,mst_173_A_l1.png
L,31971656,31971732,77,67,2_back,mst_306_A_l2.png
L,31978602,31978729,128,70,2_back,mst_293_A_l2.png
L,31983573,31983714,142,72,2_back,mst_293_A_l2.png
L,31989731,31989844,114,75,2_back,mst_149_A_l1.png
L,31996384,31996644,261,78,2_back,mst_208_A_l2.png
L,32003522,32003669,148,81,2_back,mst_216_A_l2.png
L,32012438,32012545,108,85,2_back,mst_153_A_l1.png
L,32016586,32016690,105,87,2_back,mst_129_A_l1.png
L,32023966,32024100,135,90,2_back,mst_346_B_l2.png
L,32027875,32027978,104,92,2_back,mst_111_A_l1.png
L,32030620,32031358,739,94,2_back,mst_111_A_l1.png
L,32035148,32035901,754,96,2_back,mst_032_A_l1.png
L,32039474,32039620,147,97,2_back,mst_298_A_l2.png
L,32044591,32044725,135,99,2_back,mst_200_A_l2.png
L,32048911,32049076,166,101,2_back,mst_200_A_l2.png
L,32053896,32054644,749,104,2_back,mst_052_A_l1.png
L,32058260,32059038,779,106,2_back,mst_052_A_l1.png
L,32064455,32065205,751,108,2_back,mst_139_A_l1.png
L,32066743,32067484,742,109,2_back,mst_138_A_l1.png
L,32075717,32076465,749,114,2_back,mst_101_B_l1.png
L,32078445,32079180,736,115,2_back,mst_199_A_l2.png
L,32084959,32085092,134,117,2_back,mst_356_A_l2.png
L,32087460,32087567,108,118,2_back,mst_308_A_l2.png
L,32096262,32096974,713,122,2_back,mst_119_A_l1.png
L,32102861,32103068,208,125,2_back,mst_315_A_l2.png
L,32116931,32117698,768,131,2_back,mst_073_B_l1.png
L,32122196,32122318,123,133,2_back,mst_030_A_l1.png
L,32124490,32125217,728,135,2_back,mst_030_B_l1.png
L,32128956,32129683,728,137,2_back,mst_164_A_l1.png
L,32137137,32137871,735,140,2_back,mst_358_A_l2.png
L,32143802,32143865,64,143,2_back,mst_274_A_l2.png
L,32148498,32148627,130,145,2_back,mst_274_B_l2.png
L,32152690,32152790,101,147,2_back,mst_257_A_l2.png
L,32154902,32155067,166,148,2_back,mst_287_A_l2.png
L,32161541,32161678,138,151,2_back,mst_013_A_l1.png
L,32167821,32168579,759,154,2_back,mst_631_A_foil.png
L,32169993,32170142,150,155,2_back,mst_582_A_foil.png
